route	sector
ANDIK1G	1
ANDIK1N	1
ANDIK1R	1
ANDIK1S	1
ANDIK1T	1
ANDIK2E	1
ANDIK2X	1
ARNEM1G	2
ARNEM1N	2
ARNEM1P	2
ARNEM1R	2
ARNEM1S	2
ARNEM1T	2
ARNEM2E	2
ARNEM2X	2
ARTIP	ARTIP
ARTIP1A	ARTIP
ARTIP1C	ARTIP
BERGI1G	5
BERGI1N	5
BERGI1P	5
BERGI1R	5
BERGI1S	5
BERGI1Z	5
BERGI2E	5
BERGI2W	5
BERGI2X	5
BERGI3V	5
GORLO1N	4
GORLO1P	4
GORLO1R	4
GORLO1Z	4
GORLO2W	4
GORLO3V	4
LEKKO1G	3
LEKKO1N	3
LEKKO1P	3
LEKKO1R	3
LEKKO1S	3
LEKKO1T	3
LEKKO1Z	3
LEKKO2E	3
LEKKO2V	3
LEKKO2W	3
LEKKO2X	3
PAMPUS1V	2
PAMPUS1Z	2
PAMPUS2W	2
RIVER	RIVER
RIVER1A	RIVER
RIVER1B	RIVER
SPIJKERBOOR1P	1
SPIJKERBOOR1S	1
SPIJKERBOOR1V	1
SPIJKERBOOR2W	1
SPIJKERBOOR2X	1
SUGOL	SUGOL
SUGOL1A	SUGOL
SUGOL1B	SUGOL
VALKO1G	4
VALKO1S	4
VALKO2E	4
VALKO2X	4
AMG2X	5
AND1N	1
AND1S	1
AND1T	1
AND2E	1
AND2G	1
AND2R	1
ARN2E	2
ARN2N	2
ARN2P	2
ARN2R	2
ARN2S	2
ARN2T	2
ARN3G	2
BER1G	5
BER1P	5
BER1S	5
BER1Z	5
BER2E	5
BER2N	5
BER2R	5
BER2W	5
BER3V	5
BTS3Y	1
DNG2X	4
ELP2X	2
GRL1P	4
GRL1Z	4
GRL2N	4
GRL2R	4
GRL2W	4
GRL3V	4
IVL2W	2
LAR1X	3
LEK1G	3
LEK1N	3
LEK1P	3
LEK1R	3
LEK1S	3
LEK1T	3
LEK1Z	3
LEK2E	3
LEK2V	3
LUN1V	2
LUN1Z	2
NSU1W	1
SPY1P	1
SPY2K	1
SPY2V	1
TGA1X	1
VAL1G	4
VAL1S	4
VAL2E	4
WDY1W	3
ARN1V	2
ARN1Z	2
ARN3E	2
BER1F	5
EPO1X	2
LEK1F	3
LOP1N	3
LOP1P	3
LOP1R	3
LOP1S	3
LOP1Z	3
LOP2E	3
LOP2V	3
LOPIK	
LUN1E	2
LUN1G	2
LUN1N	2
LUN1P	2
LUN1R	2
LUN1S	2
LUN1T	2
NV	
NYK3W	2
OGI1W	3
RVN1X	3
SPL	
VAL3M	4
BER3E	5
DNG3X	4
EPO2X	2
LEK3E	3
LEK3V	3
LOP1G	3
LOP2S	3
LOP3E	3
LOP3V	3
OGI2W	3
ROS1X	5
RVN2X	3
VAL3E	4
ARTIP2A	ARTIP
ARTIP3B	ARTIP
RIVER2A	RIVER
RIVER3B	RIVER
SEC4	4
SEC5	5
SUGOL2A	SUGOL
SUGOL3B	SUGOL
WIS1X	5
