name,place,population,x,y
Amsterdam,city,825080.0,121386,487324
Amsterdam,city_block,,125700,480800
-Zuidoost,city_block,,125944,480200
Den Haag,city,515076.0,81252,455181
Utrecht,city,335089.0,135984,456339
Almere,city,197318.0,143092,487412
Haarlem,city,157058.0,104053,489227
Leiden,city,150000.0,93090,463908
Alkmaar,city,107176.0,111885,516162
#Karpers,city_block,,94385,466438
Hilversum,town,84573.0,140593,470769
Purmerend,town,78751.0,126093,501728
Hoofddorp,town,74304.0,105904,479671
Zaandam,town,72036.0,117105,495114
Alphen aan den Rijn,town,72000.0,104947,460934
Hoorn,town,70000.0,133777,518467
Zeist,town,60272.0,144079,455699
Heerhugowaard,town,50896.0,117484,519664
Woerden,town,48402.0,121015,455504
IJmuiden,town,48300.0,102249,496904
Huizen,town,41434.0,146169,478705
Beverwijk,town,40095.0,105636,500237
Voorburg,town,39640.0,84288,454062
Maarssen,town,39000.0,131236,461200
Bussum,town,32587.0,140500,476625            # was 139682,476625
Nieuw-Vennep,town,31342.0,102729,475938
Aalsmeer,town,29000.0,112261,475514
Leidschendam,town,28000.0,86974,455787
Uithoorn,town,28000.0,116608,472714
Diemen,town,26891.0,125944,483889
#Leiderdorp,town,26400.0,96628,464080
Heemstede,town,26060.0,102840,485279
Wassenaar,town,25800.0,87508,462057
Noordwijk,town,25400.0,90727,472977
#Voorschoten,town,23000.0,90590,460341
Lisse,town,22300.0,98729,474717
Oegstgeest,town,22000.0,92541,466760
Volendam,town,22000.0,133347,501011
Hillegom,town,20500.0,100169,478550
Bodegraven,town,19000.0,111399,455206
Bilthoven,town,17500.0,142498,460110
Zandvoort,town,16600.0,96675,487396
Mijdrecht,town,16000.0,119292,468786
De Bilt,town,15000.0,140717,457961
Weesp,town,15000.0,131075,480314
Katwijk,town,14000.0,88512,468490
Boskoop,town,13780.0,105358,454242
Laren,town,11342.0,143953,474297
Wormerveer,town,11225.0,114283,501009
Bergen,town,10000.0,109057,520238
Castricum,town,10000.0,106328,507135
Edam,town,10000.0,132539,502747
Heiloo,town,10000.0,109251,512889
Monnickendam,town,10000.0,131218,496648
Landsmeer,town,9577.0,122959,493790
Amstelveen,town,,118139,479536
Nieuwkoop,village,26000.0,113180,462611
Bloemendaal,village,22000.0,102776,490922
Nieuwveen,village,18000.0,111860,467799
#Naarden,village,17000.0,139730,478666
Velserbroek,village,16000.0,105556,494400         # was 105556,494017
Noordwijkerhout,village,15500.0,93790,475360
Voorhout,village,15000.0,93605,471085
Breukelen,village,14600.0,128695,464937
#Rijnsburg,village,14500.0,90169,467220
Badhoevedorp,village,12508.0,113923,483610
Bovenkarspel,village,11000.0,145711,523509
