d_lt	d_runway	d_route	d_proc	d_ac_cat	d_den	d_schedule	total
L	04	RIVER	1000	2/3	D	09	0.02173913
L	04	RIVER	1000	2/3	N	06	0.02173913
L	04	RIVER	1000	3/3	D	08	0.02173913
L	04	RIVER	1000	6/3	E	21	0.02173913
L	04	RIVER	1000	7/4	D	12	0.02173913
L	04	RIVER	1001	6/3	N	01	0.04347826
L	04	RIVER	1001	6/3	N	02	0.04347826
L	04	RIVER	1009	2/3	N	06	0.13043478
L	04	RIVER	1009	4/3	E	22	0.04347826
L	04	RIVER	1009	6/3	E	21	0.02173913
L	04	RIVER	1009	6/3	E	22	0.02173913
L	04	RIVER	1200	2/4	D	13	0.02173913
L	04	RIVER	1200	3/3	D	08	0.04347826
L	04	RIVER	1200	3/3	D	09	0.04347826
L	04	RIVER	1200	3/3	D	13	0.04347826
L	04	RIVER	1200	3/3	D	14	0.02173913
L	04	RIVER	1200	3/3	E	19	0.02173913
L	04	RIVER	1200	3/3	E	22	0.06521739
L	04	RIVER	1200	4/3	D	09	0.08695652
L	04	RIVER	1200	4/3	D	13	0.04347826
L	04	RIVER	1200	4/3	D	14	0.13043478
L	04	RIVER	1200	4/3	D	16	0.02173913
L	04	RIVER	1200	4/3	D	17	0.52173912
L	04	RIVER	1200	4/3	D	18	0.32608695
L	04	RIVER	1200	4/3	E	19	0.04347826
L	04	RIVER	1200	4/3	E	21	0.60869564
L	04	RIVER	1200	4/3	E	22	1.28260867
L	04	RIVER	1200	7/4	E	21	0.04347826
L	04	RIVER	1201	4/3	E	22	0.89130433
L	04	RIVER	1201	4/3	N	00	1.93478257
L	04	RIVER	1201	4/3	N	01	0.63043477
L	04	RIVER	1201	4/3	N	02	0.21739130
L	04	RIVER	1201	4/3	N	03	0.10869565
L	04	RIVER	1201	4/3	N	23	1.17391302
L	04	RIVER	1201	5/4	N	05	0.10869565
L	04	RIVER	1201	6/3	N	05	0.13043478
L	04	RIVER	1201	6/4	N	02	0.02173913
L	04	RIVER	1201	7/3	N	06	0.17391304
L	04	RIVER	1201	7/4	N	01	0.04347826
L	04	RIVER	1201	7/4	N	06	0.04347826
L	04	RIVER	1209	3/3	D	13	0.02173913
L	04	RIVER	1209	3/3	D	18	0.04347826
L	04	RIVER	1209	3/3	E	22	0.13043478
L	04	RIVER	1209	3/3	N	06	0.13043478
L	04	RIVER	1209	4/3	D	13	0.02173913
L	04	RIVER	1209	4/3	D	14	0.06521739
L	04	RIVER	1209	4/3	D	17	0.84782607
L	04	RIVER	1209	4/3	D	18	0.63043477
L	04	RIVER	1209	4/3	E	21	1.13043476
L	04	RIVER	1209	4/3	E	22	2.63043473
L	04	RIVER	1209	4/4	D	17	0.02173913
L	04	RIVER	1209	7/4	N	06	0.17391304
L	04	RIVER	1209	8/3	N	06	0.08695652
L	06	ARTIP	1000	1/3	D	17	39.13043455
L	06	ARTIP	1000	2/3	D	07	2.15217388
L	06	ARTIP	1000	2/3	D	08	12.02173891
L	06	ARTIP	1000	2/3	D	09	6.39130423
L	06	ARTIP	1000	2/3	D	10	17.91304337
L	06	ARTIP	1000	2/3	D	11	17.65217361
L	06	ARTIP	1000	2/3	D	12	58.45652137
L	06	ARTIP	1000	2/3	D	13	41.36956478
L	06	ARTIP	1000	2/3	D	14	14.43478250
L	06	ARTIP	1000	2/3	D	15	35.30434724
L	06	ARTIP	1000	2/3	D	16	23.99999979
L	06	ARTIP	1000	2/3	D	17	18.15217381
L	06	ARTIP	1000	2/3	D	18	13.52173901
L	06	ARTIP	1000	2/3	E	19	40.80434711
L	06	ARTIP	1000	2/3	E	20	47.58695626
L	06	ARTIP	1000	2/3	E	21	97.23912997
L	06	ARTIP	1000	2/3	E	22	29.06521717
L	06	ARTIP	1000	2/3	N	06	136.86956416
L	06	ARTIP	1000	3/3	D	08	6.65217379
L	06	ARTIP	1000	3/3	D	09	20.36956494
L	06	ARTIP	1000	3/3	D	10	57.73912994
L	06	ARTIP	1000	3/3	D	11	37.02173891
L	06	ARTIP	1000	3/3	D	12	18.52173893
L	06	ARTIP	1000	3/3	D	13	1.84782606
L	06	ARTIP	1000	3/3	D	15	0.06521739
L	06	ARTIP	1000	3/3	D	16	32.49999974
L	06	ARTIP	1000	3/3	D	18	0.80434781
L	06	ARTIP	1000	3/3	E	19	7.49999987
L	06	ARTIP	1000	3/3	E	20	51.91304326
L	06	ARTIP	1000	3/3	E	21	81.65217334
L	06	ARTIP	1000	3/3	E	22	114.08695598
L	06	ARTIP	1000	4/3	D	07	0.30434782
L	06	ARTIP	1000	4/3	D	08	13.47826063
L	06	ARTIP	1000	4/3	D	09	68.80434723
L	06	ARTIP	1000	4/3	D	10	60.08695607
L	06	ARTIP	1000	4/3	D	12	12.02173906
L	06	ARTIP	1000	4/3	D	13	25.89130408
L	06	ARTIP	1000	4/3	D	14	16.91304334
L	06	ARTIP	1000	4/3	D	15	17.73913023
L	06	ARTIP	1000	4/3	D	16	28.76086939
L	06	ARTIP	1000	4/3	D	17	88.99999944
L	06	ARTIP	1000	4/3	D	18	26.23913017
L	06	ARTIP	1000	4/3	E	19	20.15217356
L	06	ARTIP	1000	4/3	E	21	51.80434762
L	06	ARTIP	1000	4/3	E	22	82.86956469
L	06	ARTIP	1000	4/3	N	04	0.28260869
L	06	ARTIP	1000	4/3	N	06	7.32608690
L	06	ARTIP	1000	4/3	N	23	0.02173913
L	06	ARTIP	1000	4/4	D	07	0.93478259
L	06	ARTIP	1000	4/4	D	08	0.91304346
L	06	ARTIP	1000	4/4	D	09	80.56521667
L	06	ARTIP	1000	4/4	D	10	8.58695644
L	06	ARTIP	1000	4/4	D	11	0.30434782
L	06	ARTIP	1000	4/4	D	13	0.43478260
L	06	ARTIP	1000	4/4	D	14	5.49999998
L	06	ARTIP	1000	4/4	D	17	58.73913011
L	06	ARTIP	1000	6/3	D	10	0.21739130
L	06	ARTIP	1000	6/3	D	11	0.17391304
L	06	ARTIP	1000	6/3	D	14	0.82608694
L	06	ARTIP	1000	6/3	D	17	1.06521738
L	06	ARTIP	1000	6/3	E	20	0.84782608
L	06	ARTIP	1000	6/3	E	22	0.41304348
L	06	ARTIP	1000	7/3	D	07	0.13043478
L	06	ARTIP	1000	7/3	D	08	0.19565217
L	06	ARTIP	1000	7/3	D	11	0.43478260
L	06	ARTIP	1000	7/3	D	13	0.23913043
L	06	ARTIP	1000	7/3	D	15	0.84782607
L	06	ARTIP	1000	7/3	E	20	1.43478260
L	06	ARTIP	1000	7/4	D	07	6.93478247
L	06	ARTIP	1000	7/4	D	08	11.93478239
L	06	ARTIP	1000	7/4	D	09	7.65217386
L	06	ARTIP	1000	7/4	D	10	5.17391301
L	06	ARTIP	1000	7/4	D	11	0.89130433
L	06	ARTIP	1000	7/4	D	12	5.97826081
L	06	ARTIP	1000	7/4	D	13	7.02173904
L	06	ARTIP	1000	7/4	D	14	65.21739079
L	06	ARTIP	1000	7/4	D	15	22.71739103
L	06	ARTIP	1000	7/4	D	16	0.04347826
L	06	ARTIP	1000	7/4	D	17	7.26086952
L	06	ARTIP	1000	7/4	D	18	28.73913017
L	06	ARTIP	1000	7/4	E	19	4.89130426
L	06	ARTIP	1000	7/4	N	04	0.19565217
L	06	ARTIP	1000	7/4	N	05	0.13043478
L	06	ARTIP	1000	7/4	N	06	33.47826059
L	06	ARTIP	1000	8/3	D	07	0.08695652
L	06	ARTIP	1000	8/3	D	08	2.95652168
L	06	ARTIP	1000	8/3	D	09	13.19565202
L	06	ARTIP	1000	8/3	D	10	5.21739128
L	06	ARTIP	1000	8/3	D	12	6.17391302
L	06	ARTIP	1000	8/3	D	15	6.41304341
L	06	ARTIP	1000	8/3	D	16	11.43478253
L	06	ARTIP	1000	8/4	D	07	2.78260864
L	06	ARTIP	1000	8/4	D	08	1.21739128
L	06	ARTIP	1000	8/4	D	09	15.58695640
L	06	ARTIP	1000	8/4	D	10	1.10869563
L	06	ARTIP	1000	8/4	D	11	0.23913043
L	06	ARTIP	1000	8/4	D	13	0.65217390
L	06	ARTIP	1000	8/4	D	14	7.26086950
L	06	ARTIP	1000	8/4	D	15	0.65217390
L	06	ARTIP	1000	8/4	D	16	11.56521730
L	06	ARTIP	1000	8/4	D	17	12.91304343
L	06	ARTIP	1000	8/4	D	18	7.82608688
L	06	ARTIP	1000	8/4	E	19	1.23913041
L	06	ARTIP	1000	8/4	E	20	22.34782600
L	06	ARTIP	1000	8/4	N	01	0.06521739
L	06	ARTIP	1000	8/4	N	05	0.04347826
L	06	ARTIP	1000	8/4	N	06	5.23913039
L	06	ARTIP	1000	9/4	D	09	7.91304340
L	06	ARTIP	1000	9/4	D	10	9.10869557
L	06	ARTIP	1000	9/4	D	11	0.39130434
L	06	ARTIP	1000	9/4	D	13	4.10869561
