d_combination	d_den	d_schedule	total
/06	E	22	3.52173906
/06	N	00	3.91304340
/06	N	01	2.17391300
/06	N	02	0.76086955
/06	N	03	0.73913042
/06	N	04	0.99999998
/06	N	05	4.95652164
/06	N	06	7.91304332
/06	N	23	4.97826077
/18C	D	17	0.41304347
/18C	D	18	0.82608694
/18C	E	21	0.10869565
/18C	E	22	7.80434767
/18C	N	00	7.73913028
/18C	N	01	5.28260859
/18C	N	02	2.06521735
/18C	N	03	0.91304346
/18C	N	04	2.04347822
/18C	N	05	8.89130417
/18C	N	06	14.84782579
/18C	N	23	9.21739112
/18R	D	13	0.04347826
/18R	D	14	0.17391304
/18R	D	16	0.06521739
/18R	D	17	5.82608684
/18R	D	18	4.86956512
/18R	E	21	5.15217381
/18R	E	22	24.08695604
/18R	N	00	9.28260851
/18R	N	01	4.39130426
/18R	N	02	2.13043474
/18R	N	03	0.91304346
/18R	N	04	3.19565211
/18R	N	05	17.39130400
/18R	N	06	34.73912974
/18R	N	23	11.93478237
/18R+18C	E	22	0.13043478
/18R+18C	N	00	0.28260869
/18R+18C	N	01	0.13043478
/18R+18C	N	02	0.10869565
/18R+18C	N	03	0.04347826
/18R+18C	N	04	0.08695652
/18R+18C	N	05	0.47826086
/18R+18C	N	06	0.41304347
/18R+18C	N	23	0.52173912
/18R+27	E	22	0.82608694
/18R+27	N	00	0.63043477
/18R+27	N	01	0.52173912
/18R+27	N	02	0.15217391
/18R+27	N	03	0.08695652
/18R+27	N	04	0.13043478
/18R+27	N	05	1.23913041
/18R+27	N	06	2.04347822
/18R+27	N	23	0.99999998
/24	E	22	0.39130434
/24	N	00	0.10869565
/24	N	01	0.13043478
/24	N	02	0.06521739
/24	N	04	0.08695652
/24	N	05	0.23913043
/24	N	06	0.45652173
/24	N	23	0.71739129
/27	D	17	1.13043476
/27	D	18	1.84782605
/27	E	21	0.34782608
/27	E	22	10.21739110
/27	N	00	6.82608682
/27	N	01	4.78260860
/27	N	02	1.89130431
/27	N	03	0.78260868
/27	N	04	2.86956516
/27	N	05	16.26086924
/27	N	06	21.45652131
/27	N	23	10.30434762
/27+36C	D	07	24.60869516
/27+36C	D	08	11.21739108
/27+36C	D	18	14.32608670
/27+36C	E	19	53.30434676
/27+36C	E	20	7.15217377
/36C	D	17	6.43478248
/36C	D	18	7.49999985
/36C	E	21	3.17391298
/36C	E	22	11.89130411
/36C	N	00	3.63043471
/36C	N	01	1.63043475
/36C	N	02	0.76086955
/36C	N	03	0.60869564
/36C	N	04	0.76086955
/36C	N	05	3.49999993
/36C	N	06	6.30434770
/36C	N	23	6.23913031
06/06	D	07	9.86956502
06/06	D	08	24.26086908
06/06	D	09	16.54347796
06/06	D	10	5.91304336
06/06	D	11	28.76086906
06/06	D	12	6.84782595
06/06	D	13	41.73912969
06/06	D	14	8.91304330
06/06	D	15	20.82608654
06/06	D	16	16.43478228
06/06	D	17	12.78260844
06/06	D	18	24.91304298
06/06	E	19	32.32608631
06/06	E	20	6.08695640
06/06	E	21	9.60869546
06/06	E	22	23.02173867
06/06	N	00	12.26086932
06/06	N	01	5.60869554
06/06	N	02	2.15217387
06/06	N	03	1.30434780
