d_lt	d_runway	d_myear	d_den	d_period	total
L	04	1971	D	L	1.00000000
L	04	1971	D	O	1.00000000
L	04	1971	E	O	22.00000000
L	04	1971	N	N	9.00000000
L	04	1972	D	L	1.00000000
L	04	1972	D	O	2.00000000
L	04	1972	E	N	1.00000000
L	04	1972	E	O	8.00000000
L	04	1972	N	N	4.00000000
L	04	1973	D	L	1.00000000
L	04	1973	D	O	1.00000000
L	04	1973	E	L	1.00000000
L	04	1973	E	O	9.00000000
L	04	1973	N	N	4.00000000
L	04	1973	N	O	1.00000000
L	04	1974	D	L	1.00000000
L	04	1974	D	O	2.00000000
L	04	1974	E	O	4.00000000
L	04	1974	N	N	10.00000000
L	04	1974	N	O	1.00000000
L	04	1975	D	O	2.00000000
L	04	1975	E	N	1.00000000
L	04	1975	E	O	6.00000000
L	04	1975	N	N	8.00000000
L	04	1975	N	O	2.00000000
L	04	1976	D	O	1.00000000
L	04	1976	E	N	2.00000000
L	04	1976	E	O	4.00000000
L	04	1976	N	N	8.00000000
L	04	1976	N	O	1.00000000
L	04	1977	D	L	1.00000000
L	04	1977	D	O	3.00000000
L	04	1977	E	L	1.00000000
L	04	1977	E	O	5.00000000
L	04	1977	N	N	5.00000000
L	04	1977	N	O	1.00000000
L	04	1978	D	L	3.00000000
L	04	1978	D	O	2.00000000
L	04	1978	E	N	1.00000000
L	04	1978	E	O	7.00000000
L	04	1978	N	N	6.00000000
L	04	1978	N	O	1.00000000
L	04	1979	E	O	1.00000000
L	04	1979	N	N	6.00000000
L	04	1980	D	O	4.00000000
L	04	1980	E	N	2.00000000
L	04	1980	E	O	3.00000000
L	04	1980	N	N	6.00000000
L	04	1981	D	O	2.00000000
L	04	1981	E	O	6.00000000
L	04	1981	N	N	15.00000000
L	04	1981	N	O	1.00000000
L	04	1982	D	O	5.00000000
L	04	1982	E	L	1.00000000
L	04	1982	E	N	1.00000000
L	04	1982	E	O	12.00000000
L	04	1982	N	N	5.00000000
L	04	1983	D	O	1.00000000
L	04	1983	E	O	3.00000000
L	04	1983	N	N	2.00000000
L	04	1984	D	O	1.00000000
L	04	1984	D	S	1.00000000
L	04	1984	E	N	2.00000000
L	04	1984	E	O	6.00000000
L	04	1984	N	N	3.00000000
L	04	1985	D	O	4.00000000
L	04	1985	E	O	3.00000000
L	04	1985	N	N	1.00000000
L	04	1986	D	O	3.00000000
L	04	1986	E	N	1.00000000
L	04	1986	E	O	4.00000000
L	04	1986	N	N	4.00000000
L	04	1987	D	O	3.00000000
L	04	1987	E	O	1.00000000
L	04	1987	N	N	6.00000000
L	04	1988	D	O	4.00000000
L	04	1988	E	N	2.00000000
L	04	1988	E	O	6.00000000
L	04	1988	N	N	8.00000000
L	04	1989	D	O	5.00000000
L	04	1989	E	O	6.00000000
L	04	1989	N	N	7.00000000
L	04	1990	D	O	1.00000000
L	04	1990	E	O	6.00000000
L	04	1990	N	N	4.00000000
L	04	1990	N	O	1.00000000
L	04	1991	D	O	5.00000000
L	04	1991	E	N	1.00000000
L	04	1991	E	O	4.00000000
L	04	1991	N	N	2.00000000
L	04	1991	N	O	1.00000000
L	04	1992	D	O	2.00000000
L	04	1992	E	N	1.00000000
L	04	1992	E	O	6.00000000
L	04	1992	N	N	1.00000000
L	04	1993	D	L	1.00000000
L	04	1993	D	O	2.00000000
L	04	1993	D	S	1.00000000
L	04	1993	E	O	7.00000000
L	04	1993	N	N	1.00000000
L	04	1994	D	O	4.00000000
L	04	1994	E	N	1.00000000
L	04	1994	E	O	16.00000000
L	04	1994	N	N	3.00000000
L	04	1994	N	O	3.00000000
L	04	1995	D	O	9.00000000
L	04	1995	E	O	7.00000000
L	04	1995	N	N	1.00000000
L	04	1996	D	O	1.00000000
L	04	1996	E	N	1.00000000
L	04	1996	E	O	7.00000000
L	04	1996	N	N	4.00000000
L	04	1996	N	O	1.00000000
L	04	1997	D	O	2.00000000
L	04	1997	E	N	1.00000000
L	04	1997	E	O	3.00000000
L	04	1997	N	N	7.00000000
L	04	1997	N	O	1.00000000
L	04	1998	E	N	1.00000000
L	04	1998	E	O	3.00000000
L	04	1998	N	N	4.00000000
L	04	1999	D	O	2.00000000
L	04	1999	E	O	3.00000000
L	04	1999	N	N	3.00000000
L	04	2000	D	O	2.00000000
L	04	2000	E	N	1.00000000
L	04	2000	E	O	4.00000000
L	04	2000	N	N	6.00000000
L	04	2000	N	O	1.00000000
L	04	2001	D	O	2.00000000
L	04	2001	E	N	3.00000000
L	04	2001	E	O	5.00000000
L	04	2001	N	N	3.00000000
L	04	2002	D	O	1.00000000
L	04	2002	E	N	2.00000000
L	04	2002	E	O	6.00000000
L	04	2002	N	N	4.00000000
L	04	2003	D	O	7.00000000
L	04	2003	E	N	3.00000000
L	04	2003	E	O	7.00000000
L	04	2003	N	N	4.00000000
L	04	2003	N	O	1.00000000
L	04	2004	D	O	1.00000000
L	04	2004	E	N	1.00000000
L	04	2004	E	O	6.00000000
L	04	2004	N	N	3.00000000
L	04	2004	N	O	1.00000000
L	04	2005	D	O	4.00000000
L	04	2005	E	N	1.00000000
L	04	2005	E	O	3.00000000
L	04	2005	N	N	3.00000000
L	04	2005	N	O	1.00000000
L	04	2006	D	O	2.00000000
L	04	2006	E	N	1.00000000
L	04	2006	E	O	10.00000000
L	04	2006	N	N	2.00000000
L	04	2007	D	O	5.00000000
L	04	2007	E	N	1.00000000
L	04	2007	E	O	5.00000000
L	04	2007	N	N	4.00000000
L	04	2007	N	O	1.00000000
L	04	2008	D	O	2.00000000
L	04	2008	E	N	2.00000000
L	04	2008	E	O	7.00000000
L	04	2008	N	N	4.00000000
L	04	2008	N	O	1.00000000
L	04	2009	D	O	2.00000000
L	04	2009	E	N	4.00000000
L	04	2009	E	O	4.00000000
L	04	2009	N	N	7.00000000
L	04	2010	D	O	8.00000000
L	04	2010	E	O	6.00000000
L	04	2010	N	N	5.00000000
L	04	2011	D	O	4.00000000
L	04	2011	E	O	7.00000000
L	04	2011	N	N	8.00000000
L	04	2012	D	O	3.00000000
L	04	2012	E	O	5.00000000
L	04	2012	N	N	2.00000000
L	04	2013	D	O	5.00000000
L	04	2013	E	N	2.00000000
L	04	2013	E	O	5.00000000
L	04	2013	N	N	2.00000000
L	04	2013	N	O	1.00000000
L	04	2014	D	O	2.00000000
L	04	2014	E	O	6.00000000
L	04	2014	N	N	6.00000000
L	04	2014	N	O	1.00000000
L	04	2015	D	O	3.00000000
L	04	2015	E	N	1.00000000
L	04	2015	E	O	9.00000000
L	04	2015	N	N	3.00000000
L	04	2015	N	O	1.00000000
L	04	2016	D	O	1.00000000
L	04	2016	E	O	3.00000000
L	04	2016	N	N	2.00000000
L	04	2016	N	O	1.00000000
L	06	1971	D	D	2641.00000000
L	06	1971	D	L	18793.00000000
L	06	1971	D	O	4317.00000000
L	06	1971	D	S	14463.00000000
L	06	1971	E	L	5321.00000000
L	06	1971	E	N	1059.00000000
L	06	1971	E	O	4285.00000000
L	06	1971	E	S	6221.00000000
L	06	1971	N	N	7343.00000000
L	06	1971	N	O	1765.00000000
L	06	1972	D	D	2306.00000000
L	06	1972	D	L	16803.00000000
L	06	1972	D	O	4318.00000000
L	06	1972	D	S	13967.00000000
L	06	1972	E	L	5433.00000000
L	06	1972	E	N	945.00000000
L	06	1972	E	O	3888.00000000
L	06	1972	E	S	5338.00000000
L	06	1972	N	N	7211.00000000
L	06	1972	N	O	1763.00000000
L	06	1973	D	D	2300.00000000
L	06	1973	D	L	15156.00000000
L	06	1973	D	O	3995.00000000
L	06	1973	D	S	12670.00000000
L	06	1973	E	L	4499.00000000
L	06	1973	E	N	1028.00000000
L	06	1973	E	O	4150.00000000
L	06	1973	E	S	6012.00000000
L	06	1973	N	N	6816.00000000
L	06	1973	N	O	1735.00000000
L	06	1974	D	D	2227.00000000
L	06	1974	D	L	14501.00000000
L	06	1974	D	O	3173.00000000
L	06	1974	D	S	12147.00000000
L	06	1974	E	L	3737.00000000
L	06	1974	E	N	782.00000000
L	06	1974	E	O	3227.00000000
L	06	1974	E	S	5041.00000000
L	06	1974	N	N	5883.00000000
L	06	1974	N	O	1490.00000000
L	06	1975	D	D	2618.00000000
L	06	1975	D	L	17294.00000000
L	06	1975	D	O	4600.00000000
L	06	1975	D	S	14381.00000000
L	06	1975	E	L	4976.00000000
L	06	1975	E	N	997.00000000
L	06	1975	E	O	4121.00000000
L	06	1975	E	S	5877.00000000
L	06	1975	N	N	7141.00000000
L	06	1975	N	O	1566.00000000
L	06	1976	D	D	2503.00000000
L	06	1976	D	L	17985.00000000
