d_lt	d_den	d_schedule	total
L	D	07:10	9.99999992
L	D	07:15	24.99999983
L	D	07:20	48.99999958
L	D	07:25	31.99999970
L	D	07:30	30.99999975
L	D	07:35	27.99999976
L	D	07:40	55.99999949
L	D	07:45	9.99999990
L	D	07:50	85.99999920
L	D	07:55	52.99999952
L	D	08:00	66.99999941
L	D	08:05	23.99999978
L	D	08:10	103.99999904
L	D	08:15	115.99999897
L	D	08:20	41.99999965
L	D	08:25	46.99999956
L	D	08:30	109.99999908
L	D	08:35	118.99999894
L	D	08:40	137.99999875
L	D	08:45	87.99999925
L	D	08:50	55.99999951
L	D	08:55	25.99999976
L	D	09:00	152.99999863
L	D	09:05	43.99999964
L	D	09:10	55.99999951
L	D	09:15	46.99999960
L	D	09:20	63.99999951
L	D	09:25	26.99999981
L	D	09:30	36.99999972
L	D	09:35	20.99999984
L	D	09:40	70.99999946
L	D	09:45	23.99999981
L	D	09:50	3.99999997
L	D	09:55	48.99999965
L	D	10:00	41.99999967
L	D	10:05	28.99999978
L	D	10:10	73.99999944
L	D	10:15	21.99999984
L	D	10:20	79.99999938
L	D	10:25	41.99999968
L	D	10:30	15.99999987
L	D	10:35	19.99999985
L	D	10:40	41.99999970
L	D	10:45	63.99999954
L	D	10:50	32.99999977
L	D	10:55	28.99999979
L	D	11:00	132.99999889
L	D	11:05	17.99999984
L	D	11:10	59.99999947
L	D	11:15	97.99999920
L	D	11:20	27.99999975
L	D	11:25	58.99999950
L	D	11:30	30.99999974
L	D	11:35	208.99999820
L	D	11:40	27.99999980
L	D	11:45	51.99999964
L	D	11:50	53.99999961
L	D	11:55	29.99999977
L	D	12:00	80.99999940
L	D	12:05	11.99999991
L	D	12:10	27.99999980
L	D	12:15	26.99999981
L	D	12:20	39.99999972
L	D	12:25	33.99999975
L	D	12:30	57.99999957
L	D	12:35	25.99999982
L	D	12:40	45.99999966
L	D	12:45	39.99999969
L	D	12:50	4.99999997
L	D	12:55	68.99999945
L	D	13:00	137.99999885
L	D	13:05	31.99999974
L	D	13:10	53.99999957
L	D	13:15	77.99999936
L	D	13:20	48.99999961
L	D	13:25	29.99999975
L	D	13:30	60.99999955
L	D	13:35	156.99999867
L	D	13:40	160.99999859
L	D	13:45	47.99999961
L	D	13:50	30.99999974
L	D	13:55	25.99999980
L	D	14:00	34.99999975
L	D	14:05	46.99999968
L	D	14:10	35.99999974
L	D	14:15	31.99999977
L	D	14:20	67.99999952
L	D	14:25	41.99999971
L	D	14:30	29.99999979
L	D	14:35	4.99999997
L	D	14:40	38.99999974
L	D	14:45	57.99999960
L	D	14:50	1.99999998
L	D	14:55	29.99999979
L	D	15:00	15.99999988
L	D	15:05	9.99999992
L	D	15:10	72.99999945
L	D	15:15	29.99999978
L	D	15:20	64.99999948
L	D	15:25	38.99999970
L	D	15:30	62.99999949
L	D	15:35	96.99999922
L	D	15:40	64.99999946
L	D	15:45	85.99999932
L	D	15:50	61.99999945
L	D	15:55	108.99999905
L	D	16:00	126.99999895
L	D	16:05	63.99999949
L	D	16:10	44.99999963
L	D	16:15	35.99999971
L	D	16:20	36.99999974
L	D	16:25	13.99999990
L	D	16:30	15.99999988
L	D	16:35	11.99999992
L	D	16:40	5.99999996
L	D	16:45	9.99999993
L	D	16:50	25.99999981
L	D	16:55	27.99999979
L	D	17:00	66.99999952
L	D	17:05	1.99999999
L	D	17:10	27.99999981
L	D	17:15	41.99999971
L	D	17:20	25.99999982
L	D	17:25	6.99999995
L	D	17:30	36.99999973
L	D	17:35	63.99999955
L	D	17:40	3.99999996
L	D	17:45	50.99999956
L	D	17:50	44.99999962
L	D	17:55	56.99999953
L	D	18:00	66.99999944
L	D	18:05	30.99999974
L	D	18:10	37.99999969
L	D	18:15	18.99999985
L	D	18:20	61.99999949
L	D	18:25	80.99999934
L	D	18:30	35.99999970
L	D	18:35	55.99999955
L	D	18:40	23.99999980
L	D	18:45	64.99999950
L	D	18:50	39.99999968
L	D	18:55	150.99999879
L	E	19:00	80.99999933
L	E	19:05	56.99999954
L	E	19:10	1.99999998
L	E	19:15	163.99999865
L	E	19:20	51.99999958
L	E	19:25	44.99999963
L	E	19:30	29.99999977
L	E	19:35	192.99999840
L	E	19:40	25.99999981
L	E	19:45	101.99999920
L	E	19:50	117.99999903
L	E	19:55	75.99999936
L	E	20:00	63.99999957
L	E	20:05	57.99999963
L	E	20:10	26.99999982
L	E	20:15	7.99999995
L	E	20:20	51.99999965
L	E	20:25	36.99999974
L	E	20:30	36.99999974
L	E	20:35	13.99999990
L	E	20:40	50.99999968
L	E	20:45	3.99999997
L	E	20:50	32.99999979
L	E	20:55	47.99999970
L	E	21:00	40.99999970
L	E	21:05	46.99999968
L	E	21:10	38.99999973
L	E	21:15	9.99999994
L	E	21:20	44.99999970
L	E	21:25	41.99999971
L	E	21:30	21.99999985
L	E	21:35	33.99999977
L	E	21:40	13.99999988
L	E	21:45	39.99999961
L	E	21:50	29.99999972
L	E	21:55	74.99999932
L	E	22:00	69.99999935
L	E	22:05	19.99999983
L	E	22:10	19.99999982
L	E	22:15	55.99999949
L	E	22:20	58.99999947
L	E	22:25	40.99999962
L	E	22:30	37.99999966
L	E	22:35	21.99999980
L	E	22:40	13.99999993
L	E	22:45	23.99999987
L	E	22:50	31.99999983
L	E	22:55	61.99999968
L	N	00:00	4.99999997
L	N	00:05	12.99999993
L	N	00:10	37.99999979
L	N	00:15	22.99999988
L	N	00:20	15.99999991
L	N	00:25	17.99999990
L	N	00:30	25.99999986
L	N	00:35	2.99999998
L	N	00:40	6.99999996
L	N	00:45	1.99999999
L	N	00:50	3.99999998
L	N	00:55	3.99999997
L	N	01:00	5.99999997
L	N	01:05	5.99999997
L	N	01:10	7.99999995
L	N	01:15	8.99999995
L	N	01:20	8.99999995
L	N	01:25	2.99999999
L	N	01:30	3.99999998
L	N	01:35	5.99999997
L	N	01:40	1.99999999
L	N	01:45	1.99999999
L	N	01:50	7.99999997
L	N	01:55	1.99999999
L	N	02:00	3.99999998
L	N	02:05	1.99999999
L	N	02:10	4.99999997
L	N	02:20	5.99999997
L	N	02:25	2.99999998
L	N	02:35	5.99999996
L	N	02:40	7.99999995
L	N	02:45	1.99999999
L	N	03:00	1.00000000
L	N	03:15	2.99999998
L	N	03:30	3.99999997
L	N	04:30	7.99999995
L	N	04:40	7.99999995
L	N	04:50	7.99999995
L	N	05:05	5.99999997
L	N	05:10	27.99999983
L	N	05:30	7.99999995
L	N	05:35	13.99999992
L	N	05:40	7.99999994
L	N	05:45	1.99999998
L	N	05:50	27.99999983
L	N	05:55	15.99999990
L	N	06:00	67.99999957
L	N	06:10	13.99999991
L	N	06:15	9.99999994
L	N	06:20	4.99999997
L	N	06:25	15.99999990
L	N	06:30	11.99999993
L	N	06:35	76.99999953
L	N	06:40	25.99999971
L	N	06:45	1.99999998
L	N	06:50	109.99999885
L	N	06:55	58.99999939
L	N	23:10	19.99999989
L	N	23:15	13.99999992
L	N	23:20	8.99999995
L	N	23:25	3.99999998
L	N	23:30	11.99999993
L	N	23:35	7.99999996
L	N	23:40	3.99999998
L	N	23:45	9.99999995
L	N	23:50	24.99999986
L	N	23:55	9.99999995
T	D	07:00	213.99999851
T	D	07:05	86.99999937
T	D	07:10	37.99999977
T	D	07:15	75.99999949
T	D	07:20	102.99999922
T	D	07:25	19.99999986
T	D	07:30	28.99999979
T	D	07:35	15.99999990
T	D	07:40	21.99999987
T	D	07:45	33.99999977
T	D	07:50	59.99999958
T	D	07:55	17.99999989
T	D	08:00	95.99999937
T	D	08:05	10.99999992
T	D	08:10	15.99999988
T	D	08:15	53.99999965
T	D	08:20	8.99999993
T	D	08:25	68.99999950
T	D	08:30	59.99999964
T	D	08:35	42.99999976
T	D	08:40	35.99999975
T	D	08:45	76.99999947
T	D	08:50	0.99999999
T	D	08:55	52.99999962
T	D	09:00	52.99999967
T	D	09:05	16.99999988
T	D	09:10	37.99999976
T	D	09:15	45.99999969
T	D	09:20	91.99999952
T	D	09:25	73.99999961
T	D	09:30	120.99999928
T	D	09:35	59.99999971
T	D	09:40	137.99999923
T	D	09:45	95.99999952
T	D	09:50	90.99999960
T	D	09:55	24.99999988
T	D	10:00	149.99999921
T	D	10:05	7.99999997
T	D	10:10	59.99999967
T	D	10:15	76.99999960
T	D	10:20	132.99999929
T	D	10:25	49.99999972
T	D	10:30	26.99999989
T	D	10:35	80.99999959
T	D	10:40	15.99999992
T	D	10:45	37.99999976
T	D	10:50	41.99999977
T	D	10:55	67.99999961
T	D	11:00	37.99999974
T	D	11:05	34.99999982
T	D	11:10	25.99999981
T	D	11:15	38.99999972
T	D	11:20	58.99999958
T	D	11:25	42.99999973
T	D	11:30	8.99999995
T	D	11:35	37.99999973
T	D	11:40	68.99999963
T	D	11:45	53.99999970
T	D	11:50	70.99999967
T	D	11:55	49.99999979
T	D	12:00	86.99999959
T	D	12:05	38.99999984
T	D	12:10	99.99999943
T	D	12:15	103.99999948
T	D	12:20	37.99999985
T	D	12:25	84.99999955
T	D	12:30	95.99999951
T	D	12:35	125.99999937
T	D	12:40	56.99999969
T	D	12:45	46.99999974
T	D	12:50	35.99999978
T	D	12:55	52.99999969
