d_lt	d_den	d_schedule	total
L	D	07:10	4.99999997
L	D	07:15	11.99999993
L	D	07:20	22.99999980
L	D	07:25	8.99999992
L	D	07:30	19.99999983
L	D	07:35	13.99999988
L	D	07:40	32.99999971
L	D	07:45	1.99999998
L	D	07:50	38.99999967
L	D	07:55	26.99999977
L	D	08:00	30.99999973
L	D	08:05	12.99999989
L	D	08:10	44.99999960
L	D	08:15	62.99999945
L	D	08:20	24.99999978
L	D	08:25	12.99999989
L	D	08:30	66.99999944
L	D	08:35	53.99999954
L	D	08:40	69.99999940
L	D	08:45	50.99999957
L	D	08:50	21.99999982
L	D	08:55	10.99999991
L	D	09:00	78.99999931
L	D	09:05	19.99999984
L	D	09:10	29.99999974
L	D	09:15	20.99999982
L	D	09:20	35.99999975
L	D	09:25	12.99999991
L	D	09:30	18.99999988
L	D	09:35	10.99999993
L	D	09:40	38.99999973
L	D	09:45	11.99999992
L	D	09:50	1.99999998
L	D	09:55	20.99999986
L	D	10:00	20.99999987
L	D	10:05	14.99999990
L	D	10:10	37.99999975
L	D	10:15	8.99999995
L	D	10:20	37.99999974
L	D	10:25	20.99999986
L	D	10:30	7.99999995
L	D	10:35	13.99999991
L	D	10:40	17.99999988
L	D	10:45	33.99999979
L	D	10:50	15.99999991
L	D	10:55	13.99999992
L	D	11:00	59.99999953
L	D	11:05	10.99999991
L	D	11:10	26.99999979
L	D	11:15	50.99999963
L	D	11:20	12.99999990
L	D	11:25	29.99999975
L	D	11:30	12.99999990
L	D	11:35	101.99999916
L	D	11:40	11.99999991
L	D	11:45	25.99999984
L	D	11:50	26.99999983
L	D	11:55	16.99999989
L	D	12:00	38.99999978
L	D	12:05	4.99999997
L	D	12:10	13.99999991
L	D	12:15	13.99999991
L	D	12:20	13.99999991
L	D	12:25	17.99999990
L	D	12:30	30.99999981
L	D	12:35	11.99999992
L	D	12:40	19.99999988
L	D	12:45	24.99999985
L	D	12:50	0.99999999
L	D	12:55	31.99999978
L	D	13:00	69.99999950
L	D	13:05	13.99999989
L	D	13:10	21.99999984
L	D	13:15	38.99999972
L	D	13:20	25.99999982
L	D	13:25	15.99999989
L	D	13:30	28.99999979
L	D	13:35	71.99999948
L	D	13:40	77.99999944
L	D	13:45	25.99999981
L	D	13:50	16.99999987
L	D	13:55	12.99999991
L	D	14:00	20.99999988
L	D	14:05	23.99999986
L	D	14:10	16.99999991
L	D	14:15	16.99999990
L	D	14:20	30.99999981
L	D	14:25	20.99999987
L	D	14:30	16.99999990
L	D	14:35	1.99999999
L	D	14:40	13.99999992
L	D	14:45	25.99999986
L	D	14:55	13.99999993
L	D	15:00	8.99999994
L	D	15:05	3.99999997
L	D	15:10	43.99999971
L	D	15:15	14.99999991
L	D	15:20	32.99999976
L	D	15:25	18.99999987
L	D	15:30	32.99999977
L	D	15:35	49.99999965
L	D	15:40	30.99999979
L	D	15:45	44.99999967
L	D	15:50	29.99999977
L	D	15:55	55.99999960
L	D	16:00	62.99999953
L	D	16:05	31.99999976
L	D	16:10	20.99999986
L	D	16:15	16.99999988
L	D	16:20	16.99999990
L	D	16:25	5.99999996
L	D	16:30	7.99999995
L	D	16:35	5.99999996
L	D	16:40	1.99999999
L	D	16:45	4.99999997
L	D	16:50	12.99999992
L	D	16:55	14.99999990
L	D	17:00	32.99999978
L	D	17:05	0.99999999
L	D	17:10	14.99999990
L	D	17:15	20.99999986
L	D	17:20	12.99999992
L	D	17:25	1.99999999
L	D	17:30	19.99999987
L	D	17:35	26.99999982
L	D	17:40	1.99999998
L	D	17:45	26.99999978
L	D	17:50	20.99999984
L	D	17:55	25.99999980
L	D	18:00	31.99999975
L	D	18:05	15.99999987
L	D	18:10	18.99999985
L	D	18:15	9.99999993
L	D	18:20	27.99999981
L	D	18:25	35.99999975
L	D	18:30	20.99999983
L	D	18:35	11.99999990
L	D	18:40	10.99999993
L	D	18:45	34.99999974
L	D	18:50	18.99999987
L	D	18:55	73.99999946
L	E	19:00	36.99999972
L	E	19:05	29.99999979
L	E	19:10	0.99999999
L	E	19:15	82.99999938
L	E	19:20	24.99999983
L	E	19:25	22.99999984
L	E	19:30	14.99999989
L	E	19:35	94.99999932
L	E	19:40	11.99999992
L	E	19:45	49.99999965
L	E	19:50	59.99999958
L	E	19:55	38.99999971
L	E	20:00	34.99999979
L	E	20:05	28.99999982
L	E	20:10	12.99999993
L	E	20:15	2.99999998
L	E	20:20	19.99999988
L	E	20:25	17.99999989
L	E	20:30	20.99999987
L	E	20:35	10.99999994
L	E	20:40	22.99999986
L	E	20:45	0.99999999
L	E	20:50	15.99999990
L	E	20:55	23.99999985
L	E	21:00	21.99999987
L	E	21:05	23.99999985
L	E	21:10	19.99999988
L	E	21:15	0.99999999
L	E	21:20	22.99999986
L	E	21:25	22.99999986
L	E	21:30	13.99999991
L	E	21:35	10.99999994
L	E	21:40	6.99999995
L	E	21:45	18.99999985
L	E	21:50	12.99999991
L	E	21:55	38.99999971
L	E	22:00	31.99999978
L	E	22:05	8.99999994
L	E	22:10	10.99999993
L	E	22:15	30.99999978
L	E	22:20	30.99999978
L	E	22:25	17.99999987
L	E	22:30	15.99999989
L	E	22:35	8.99999993
L	E	22:40	3.99999998
L	E	22:45	7.99999997
L	E	22:50	16.99999995
L	E	22:55	25.99999991
L	N	00:00	1.99999999
L	N	00:05	5.99999998
L	N	00:10	19.99999992
L	N	00:15	11.99999996
L	N	00:20	7.99999997
L	N	00:25	8.99999996
L	N	00:30	12.99999995
L	N	00:35	1.00000000
L	N	00:40	1.99999999
L	N	00:45	1.99999999
L	N	00:50	2.99999999
L	N	00:55	1.99999999
L	N	01:00	3.99999998
L	N	01:05	2.99999999
L	N	01:10	2.99999999
L	N	01:15	6.99999997
L	N	01:20	2.99999999
L	N	01:25	1.00000000
L	N	01:30	1.00000000
L	N	01:35	3.99999998
L	N	01:40	1.00000000
L	N	01:45	2.99999999
L	N	01:50	1.00000000
L	N	01:55	1.00000000
L	N	02:05	1.99999999
L	N	02:10	1.00000000
L	N	02:20	3.99999998
L	N	02:35	1.00000000
L	N	02:40	3.99999998
L	N	02:55	1.99999999
L	N	03:15	1.99999999
L	N	03:30	1.99999999
L	N	03:45	1.00000000
L	N	03:55	1.00000000
L	N	04:30	3.99999998
L	N	04:40	3.99999998
L	N	04:50	3.99999998
L	N	05:05	2.99999998
L	N	05:10	13.99999993
L	N	05:30	3.99999998
L	N	05:35	6.99999997
L	N	05:40	2.99999998
L	N	05:50	13.99999993
L	N	05:55	7.99999997
L	N	06:00	30.99999985
L	N	06:10	5.99999997
L	N	06:15	3.99999998
L	N	06:20	1.00000000
L	N	06:25	10.99999994
L	N	06:30	5.99999998
L	N	06:35	34.99999985
L	N	06:40	12.99999988
L	N	06:45	0.99999999
L	N	06:50	52.99999951
L	N	06:55	32.99999970
L	N	23:10	9.99999996
L	N	23:15	6.99999997
L	N	23:20	4.99999998
L	N	23:25	1.99999999
L	N	23:30	4.99999998
L	N	23:35	8.99999997
L	N	23:40	1.99999999
L	N	23:45	5.99999998
L	N	23:50	10.99999996
L	N	23:55	5.99999998
T	D	07:00	104.99999938
T	D	07:05	42.99999974
T	D	07:10	17.99999991
T	D	07:15	39.99999975
T	D	07:20	45.99999970
T	D	07:25	11.99999993
T	D	07:30	12.99999991
T	D	07:35	4.99999997
T	D	07:40	9.99999994
T	D	07:45	15.99999991
T	D	07:50	28.99999984
T	D	07:55	7.99999996
T	D	08:00	46.99999972
