d_lt	d_den	d_schedule	total
L	D	07:10	15.99999991
L	D	07:15	36.99999982
L	D	07:20	76.99999935
L	D	07:25	24.99999978
L	D	07:30	60.99999949
L	D	07:35	44.99999962
L	D	07:40	109.99999906
L	D	07:45	4.99999995
L	D	07:50	125.99999892
L	D	07:55	76.99999935
L	D	08:00	104.99999910
L	D	08:05	40.99999965
L	D	08:10	140.99999880
L	D	08:15	160.99999866
L	D	08:20	78.99999933
L	D	08:25	72.99999938
L	D	08:30	166.99999861
L	D	08:35	180.99999851
L	D	08:40	214.99999819
L	D	08:45	161.99999866
L	D	08:50	68.99999943
L	D	08:55	37.99999969
L	D	09:00	253.99999774
L	D	09:05	62.99999947
L	D	09:10	81.99999930
L	D	09:15	75.99999937
L	D	09:20	95.99999930
L	D	09:25	47.99999967
L	D	09:30	57.99999959
L	D	09:35	32.99999977
L	D	09:40	117.99999917
L	D	09:45	37.99999973
L	D	09:50	5.99999996
L	D	09:55	67.99999954
L	D	10:00	73.99999951
L	D	10:05	46.99999969
L	D	10:10	112.99999928
L	D	10:15	29.99999980
L	D	10:20	112.99999926
L	D	10:25	68.99999955
L	D	10:30	24.99999984
L	D	10:35	41.99999973
L	D	10:40	58.99999975
L	D	10:45	103.99999957
L	D	10:50	44.99999979
L	D	10:55	44.99999980
L	D	11:00	181.99999861
L	D	11:05	28.99999978
L	D	11:10	83.99999933
L	D	11:15	137.99999896
L	D	11:20	34.99999974
L	D	11:25	79.99999941
L	D	11:30	33.99999973
L	D	11:35	322.99999759
L	D	11:40	38.99999975
L	D	11:45	80.99999949
L	D	11:50	80.99999949
L	D	11:55	49.99999969
L	D	12:00	111.99999932
L	D	12:05	9.99999994
L	D	12:10	48.99999970
L	D	12:15	37.99999976
L	D	12:20	62.99999960
L	D	12:25	49.99999969
L	D	12:30	84.99999948
L	D	12:35	22.99999986
L	D	12:40	71.99999970
L	D	12:45	67.99999973
L	D	12:50	6.99999997
L	D	12:55	100.99999958
L	D	13:00	187.99999858
L	D	13:05	39.99999970
L	D	13:10	58.99999958
L	D	13:15	113.99999916
L	D	13:20	73.99999944
L	D	13:25	47.99999964
L	D	13:30	104.99999928
L	D	13:35	225.99999829
L	D	13:40	209.99999843
L	D	13:45	66.99999951
L	D	13:50	49.99999961
L	D	13:55	30.99999978
L	D	14:00	48.99999970
L	D	14:05	69.99999957
L	D	14:10	51.99999968
L	D	14:15	59.99999963
L	D	14:20	92.99999942
L	D	14:25	52.99999968
L	D	14:30	33.99999978
L	D	14:35	9.99999993
L	D	14:40	44.99999972
L	D	14:45	96.99999939
L	D	14:50	4.99999997
L	D	14:55	26.99999984
L	D	15:00	16.99999992
L	D	15:05	12.99999995
L	D	15:10	126.99999946
L	D	15:15	40.99999983
L	D	15:20	102.99999930
L	D	15:25	53.99999964
L	D	15:30	99.99999929
L	D	15:35	165.99999885
L	D	15:40	66.99999951
L	D	15:45	138.99999902
L	D	15:50	118.99999916
L	D	15:55	178.99999870
L	D	16:00	183.99999872
L	D	16:05	107.99999925
L	D	16:10	67.99999951
L	D	16:15	51.99999962
L	D	16:20	67.99999960
L	D	16:25	18.99999989
L	D	16:30	29.99999982
L	D	16:35	18.99999989
L	D	16:40	6.99999995
L	D	16:45	18.99999989
L	D	16:50	41.99999975
L	D	16:55	44.99999973
L	D	17:00	101.99999935
L	D	17:05	5.99999996
L	D	17:10	45.99999972
L	D	17:15	63.99999959
L	D	17:20	43.99999973
L	D	17:25	5.99999996
L	D	17:30	58.99999963
L	D	17:35	77.99999953
L	D	17:40	6.99999995
L	D	17:45	64.99999952
L	D	17:50	62.99999953
L	D	17:55	75.99999945
