d_lt	d_den	d_schedule	total
L	D	07:10	29.99999973
L	D	07:15	71.99999941
L	D	07:20	149.99999844
L	D	07:25	94.99999897
L	D	07:30	86.99999916
L	D	07:35	83.99999913
L	D	07:40	170.99999815
L	D	07:45	21.99999975
L	D	07:50	256.99999718
L	D	07:55	145.99999845
L	D	08:00	246.99999728
L	D	08:05	71.99999917
L	D	08:10	288.99999673
L	D	08:15	324.99999658
L	D	08:20	130.99999861
L	D	08:25	114.99999870
L	D	08:30	339.99999645
L	D	08:35	355.99999618
L	D	08:40	398.99999567
L	D	08:45	263.99999726
L	D	08:50	169.99999816
L	D	08:55	88.99999896
L	D	09:00	452.99999496
L	D	09:05	131.99999867
L	D	09:10	160.99999827
L	D	09:15	136.99999855
L	D	09:20	200.99999816
L	D	09:25	78.99999932
L	D	09:30	107.99999901
L	D	09:35	60.99999944
L	D	09:40	229.99999790
L	D	09:45	71.99999932
L	D	09:50	12.99999988
L	D	09:55	127.99999889
L	D	10:00	127.99999881
L	D	10:05	89.99999921
L	D	10:10	222.99999798
L	D	10:15	59.99999947
L	D	10:20	250.99999775
L	D	10:25	125.99999889
L	D	10:30	47.99999957
L	D	10:35	61.99999944
L	D	10:40	122.99999889
L	D	10:45	197.99999824
L	D	10:50	92.99999922
L	D	10:55	89.99999922
L	D	11:00	392.99999605
L	D	11:05	54.99999946
L	D	11:10	175.99999824
L	D	11:15	256.99999754
L	D	11:20	92.99999905
L	D	11:25	172.99999826
L	D	11:30	96.99999904
L	D	11:35	599.99999388
L	D	11:40	82.99999930
L	D	11:45	152.99999873
L	D	11:50	159.99999859
L	D	11:55	93.99999916
L	D	12:00	234.99999791
L	D	12:05	34.99999968
L	D	12:10	91.99999914
L	D	12:15	72.99999936
L	D	12:20	126.99999885
L	D	12:25	108.99999903
L	D	12:30	169.99999843
L	D	12:35	56.99999949
L	D	12:40	119.99999894
L	D	12:45	119.99999896
L	D	12:50	11.99999989
L	D	12:55	205.99999807
L	D	13:00	379.99999626
L	D	13:05	105.99999896
L	D	13:10	150.99999853
L	D	13:15	226.99999774
L	D	13:20	150.99999851
L	D	13:25	87.99999912
L	D	13:30	180.99999833
L	D	13:35	463.99999540
L	D	13:40	462.99999516
L	D	13:45	140.99999859
L	D	13:50	84.99999912
L	D	13:55	80.99999922
L	D	14:00	102.99999906
L	D	14:05	131.99999887
L	D	14:10	106.99999907
L	D	14:15	107.99999903
L	D	14:20	202.99999822
L	D	14:25	129.99999890
L	D	14:30	89.99999923
L	D	14:35	8.99999992
L	D	14:40	91.99999921
L	D	14:45	155.99999865
L	D	14:50	2.99999997
L	D	14:55	87.99999927
L	D	15:00	44.99999961
L	D	15:05	33.99999968
L	D	15:10	227.99999799
L	D	15:15	86.99999926
L	D	15:20	216.99999789
L	D	15:25	114.99999887
L	D	15:30	188.99999818
L	D	15:35	285.99999726
L	D	15:40	189.99999815
L	D	15:45	268.99999734
L	D	15:50	191.99999801
L	D	15:55	323.99999666
L	D	16:00	383.99999634
L	D	16:05	201.99999803
L	D	16:10	125.99999877
L	D	16:15	101.99999903
L	D	16:20	135.99999880
L	D	16:25	48.99999956
L	D	16:30	48.99999958
L	D	16:35	37.99999966
L	D	16:40	19.99999983
L	D	16:45	19.99999982
L	D	16:50	77.99999939
L	D	16:55	83.99999929
L	D	17:00	204.99999819
L	D	17:05	5.99999995
L	D	17:10	80.99999931
L	D	17:15	125.99999890
L	D	17:20	77.99999928
L	D	17:25	16.99999984
L	D	17:30	108.99999904
L	D	17:35	189.99999838
L	D	17:40	15.99999985
L	D	17:45	160.99999838
L	D	17:50	129.99999872
L	D	17:55	149.99999857
L	D	18:00	205.99999792
L	D	18:05	85.99999913
L	D	18:10	106.99999894
L	D	18:15	59.99999937
L	D	18:20	162.99999842
L	D	18:25	246.99999758
L	D	18:30	103.99999895
L	D	18:35	126.99999878
L	D	18:40	67.99999934
L	D	18:45	195.99999809
L	D	18:50	113.99999893
L	D	18:55	448.99999562
L	E	19:00	246.99999752
L	E	19:05	173.99999832
L	E	19:10	5.99999994
L	E	19:15	480.99999527
L	E	19:20	165.99999838
L	E	19:25	141.99999861
L	E	19:30	79.99999923
L	E	19:35	570.99999445
L	E	19:40	79.99999925
L	E	19:45	296.99999717
L	E	19:50	359.99999646
L	E	19:55	227.99999774
L	E	20:00	201.99999826
L	E	20:05	169.99999850
L	E	20:10	80.99999929
L	E	20:15	7.99999993
L	E	20:20	152.99999869
L	E	20:25	113.99999898
L	E	20:30	113.99999901
L	E	20:35	45.99999958
L	E	20:40	143.99999877
L	E	20:45	8.99999993
L	E	20:50	95.99999916
L	E	20:55	143.99999878
L	E	21:00	131.99999880
L	E	21:05	149.99999866
L	E	21:10	122.99999887
L	E	21:15	4.99999996
L	E	21:20	126.99999889
L	E	21:25	125.99999891
L	E	21:30	68.99999937
L	E	21:35	76.99999933
L	E	21:40	45.99999953
L	E	21:45	115.99999874
L	E	21:50	86.99999908
L	E	21:55	228.99999769
L	E	22:00	201.99999781
L	E	22:05	67.99999931
L	E	22:10	53.99999943
L	E	22:15	172.99999812
L	E	22:20	195.99999792
L	E	22:25	115.99999877
L	E	22:30	95.99999903
L	E	22:35	62.99999933
L	E	22:40	17.99999989
L	E	22:45	69.99999959
L	E	22:50	93.99999943
L	E	22:55	189.99999887
L	N	00:00	8.99999995
L	N	00:05	35.99999977
L	N	00:10	111.99999932
L	N	00:15	59.99999964
L	N	00:20	45.99999971
L	N	00:25	57.99999965
L	N	00:30	73.99999955
L	N	00:35	4.99999997
L	N	00:40	14.99999990
L	N	00:45	5.99999996
L	N	00:50	12.99999992
L	N	00:55	11.99999993
L	N	01:00	18.99999987
L	N	01:05	14.99999990
L	N	01:10	20.99999986
L	N	01:15	26.99999982
L	N	01:20	27.99999981
L	N	01:25	9.99999994
L	N	01:30	10.99999993
L	N	01:35	17.99999988
L	N	01:40	5.99999996
L	N	01:45	6.99999995
L	N	01:50	14.99999990
L	N	01:55	8.99999994
L	N	02:00	11.99999992
L	N	02:05	5.99999996
L	N	02:10	13.99999991
L	N	02:20	20.99999985
L	N	02:25	6.99999995
L	N	02:35	17.99999988
L	N	02:40	26.99999982
L	N	02:45	2.99999998
L	N	02:50	0.99999999
L	N	02:55	0.99999999
L	N	03:15	6.99999996
L	N	03:25	0.99999999
L	N	03:30	11.99999992
L	N	03:35	0.99999999
L	N	04:30	23.99999984
L	N	04:40	23.99999984
L	N	04:50	23.99999985
L	N	05:05	20.99999986
L	N	05:10	83.99999941
L	N	05:30	23.99999985
L	N	05:35	41.99999974
L	N	05:40	23.99999984
L	N	05:45	5.99999996
L	N	05:50	83.99999944
L	N	05:55	48.99999966
L	N	06:00	198.99999862
L	N	06:10	41.99999969
L	N	06:15	30.99999979
L	N	06:20	7.99999994
L	N	06:25	54.99999961
L	N	06:30	35.99999974
L	N	06:35	225.99999842
L	N	06:40	77.99999907
L	N	06:45	5.99999993
L	N	06:50	319.99999631
L	N	06:55	179.99999792
L	N	23:10	62.99999961
L	N	23:15	38.99999977
L	N	23:20	18.99999989
L	N	23:25	11.99999992
L	N	23:30	31.99999980
L	N	23:35	30.99999980
L	N	23:40	11.99999993
L	N	23:45	29.99999981
L	N	23:50	69.99999958
L	N	23:55	26.99999983
T	D	07:00	652.99999440
T	D	07:05	253.99999779
T	D	07:10	110.99999917
T	D	07:15	229.99999802
T	D	07:20	281.99999736
T	D	07:25	60.99999950
T	D	07:30	83.99999922
T	D	07:35	46.99999960
T	D	07:40	68.99999946
T	D	07:45	91.99999927
T	D	07:50	191.99999839
T	D	07:55	50.99999961
T	D	08:00	265.99999769
T	D	08:05	29.99999971
T	D	08:10	48.99999954
T	D	08:15	152.99999880
T	D	08:20	29.99999970
T	D	08:25	203.99999820
T	D	08:30	185.99999858
T	D	08:35	125.99999910
T	D	08:40	113.99999904
T	D	08:45	219.99999814
T	D	08:50	11.99999987
T	D	08:55	147.99999865
T	D	09:00	145.99999880
T	D	09:05	73.99999939
T	D	09:10	112.99999909
T	D	09:15	138.99999884
T	D	09:20	264.99999822
T	D	09:25	231.99999839
T	D	09:30	355.99999731
T	D	09:35	179.99999883
T	D	09:40	422.99999702
