d_lt	d_den	d_schedule	total
L	D	07:10	6.99999993
L	D	07:15	18.99999983
L	D	07:20	36.99999960
L	D	07:25	11.99999986
L	D	07:30	28.99999969
L	D	07:35	20.99999977
L	D	07:40	51.99999940
L	D	07:45	3.99999995
L	D	07:50	60.99999931
L	D	07:55	39.99999957
L	D	08:00	49.99999945
L	D	08:05	19.99999976
L	D	08:10	67.99999921
L	D	08:15	73.99999918
L	D	08:20	40.99999956
L	D	08:25	34.99999958
L	D	08:30	83.99999910
L	D	08:35	82.99999908
L	D	08:40	99.99999883
L	D	08:45	76.99999916
L	D	08:50	40.99999955
L	D	08:55	20.99999975
L	D	09:00	127.99999843
L	D	09:05	29.99999967
L	D	09:10	38.99999955
L	D	09:15	29.99999967
L	D	09:20	52.99999946
L	D	09:25	22.99999976
L	D	09:30	29.99999968
L	D	09:35	14.99999984
L	D	09:40	57.99999939
L	D	09:45	18.99999978
L	D	09:50	2.99999997
L	D	09:55	31.99999967
L	D	10:00	36.99999963
L	D	10:05	20.99999979
L	D	10:10	56.99999944
L	D	10:15	12.99999987
L	D	10:20	56.99999944
L	D	10:25	31.99999968
L	D	10:30	11.99999987
L	D	10:35	20.99999980
L	D	10:40	27.99999974
L	D	10:45	52.99999951
L	D	10:50	21.99999980
L	D	10:55	23.99999977
L	D	11:00	87.99999907
L	D	11:05	13.99999985
L	D	11:10	40.99999955
L	D	11:15	57.99999941
L	D	11:20	6.99999992
L	D	11:25	36.99999962
L	D	11:30	20.99999977
L	D	11:35	161.99999822
L	D	11:40	20.99999980
L	D	11:45	35.99999966
L	D	11:50	35.99999965
L	D	11:55	22.99999977
L	D	12:00	48.99999954
L	D	12:05	1.99999998
L	D	12:10	20.99999980
L	D	12:15	19.99999981
L	D	12:20	26.99999976
L	D	12:25	29.99999972
L	D	12:30	41.99999960
L	D	12:35	12.99999988
L	D	12:40	35.99999966
L	D	12:45	30.99999970
L	D	12:50	1.99999998
L	D	12:55	51.99999948
L	D	13:00	83.99999911
L	D	13:05	20.99999977
L	D	13:10	26.99999972
L	D	13:15	51.99999946
L	D	13:20	35.99999963
L	D	13:25	23.99999975
L	D	13:30	53.99999948
L	D	13:35	112.99999880
L	D	13:40	102.99999887
L	D	13:45	28.99999969
L	D	13:50	19.99999978
L	D	13:55	22.99999977
L	D	14:00	23.99999976
L	D	14:05	33.99999967
L	D	14:10	24.99999975
L	D	14:15	32.99999967
L	D	14:20	37.99999963
L	D	14:25	22.99999977
L	D	14:30	13.99999986
L	D	14:35	1.99999998
L	D	14:40	18.99999982
L	D	14:45	49.99999951
L	D	14:50	2.99999997
L	D	14:55	9.99999991
L	D	15:00	5.99999995
L	D	15:05	3.99999996
L	D	15:10	60.99999941
L	D	15:15	24.99999976
L	D	15:20	52.99999948
L	D	15:25	27.99999970
L	D	15:30	51.99999946
L	D	15:35	82.99999918
L	D	15:40	34.99999965
L	D	15:45	70.99999927
L	D	15:50	61.99999935
L	D	15:55	85.99999908
L	D	16:00	89.99999910
L	D	16:05	54.99999945
L	D	16:10	36.99999962
L	D	16:15	20.99999979
L	D	16:20	29.99999971
L	D	16:25	5.99999993
L	D	16:30	18.99999982
L	D	16:35	7.99999992
L	D	16:40	2.99999997
L	D	16:45	8.99999992
L	D	16:50	19.99999981
