d_lt	d_den	d_schedule	total
L	D	07:10	154.99999866
L	D	07:15	430.99999652
L	D	07:20	705.99999306
L	D	07:25	431.99999554
L	D	07:30	508.99999523
L	D	07:35	433.99999577
L	D	07:40	970.99999005
L	D	07:45	69.99999922
L	D	07:50	1260.99998702
L	D	07:55	806.99999189
L	D	08:00	1073.99998900
L	D	08:05	386.99999590
L	D	08:10	1471.99998481
L	D	08:15	1769.99998257
L	D	08:20	691.99999330
L	D	08:25	553.99999431
L	D	08:30	1946.99998117
L	D	08:35	1717.99998312
L	D	08:40	2162.99997820
L	D	08:45	1482.99998571
L	D	08:50	751.99999245
L	D	08:55	339.99999642
L	D	09:00	2507.99997380
L	D	09:05	662.99999365
L	D	09:10	861.99999135
L	D	09:15	655.99999353
L	D	09:20	1022.99999120
L	D	09:25	431.99999645
L	D	09:30	576.99999505
L	D	09:35	332.99999713
L	D	09:40	1158.99998993
L	D	09:45	370.99999673
L	D	09:50	78.99999932
L	D	09:55	663.99999448
L	D	10:00	722.99999384
L	D	10:05	452.99999614
L	D	10:10	1073.99999089
L	D	10:15	342.99999715
L	D	10:20	1199.99998983
L	D	10:25	662.99999438
L	D	10:30	247.99999786
L	D	10:35	388.99999670
L	D	10:40	630.99999446
L	D	10:45	989.99999151
L	D	10:50	488.99999594
L	D	10:55	466.99999607
L	D	11:00	1934.99998142
L	D	11:05	288.99999726
L	D	11:10	901.99999145
L	D	11:15	1466.99998645
L	D	11:20	417.99999582
L	D	11:25	916.99999138
L	D	11:30	538.99999475
L	D	11:35	3036.99997029
L	D	11:40	391.99999681
L	D	11:45	792.99999362
L	D	11:50	845.99999301
L	D	11:55	500.99999569
L	D	12:00	1209.99998996
L	D	12:05	163.99999862
L	D	12:10	428.99999640
L	D	12:15	398.99999672
L	D	12:20	614.99999486
L	D	12:25	521.99999571
L	D	12:30	856.99999272
L	D	12:35	395.99999680
L	D	12:40	685.99999402
L	D	12:45	713.99999380
L	D	12:50	73.99999932
L	D	12:55	987.99999086
L	D	13:00	2069.99998033
L	D	13:05	390.99999621
L	D	13:10	675.99999371
L	D	13:15	1144.99998936
L	D	13:20	751.99999299
L	D	13:25	486.99999549
L	D	13:30	832.99999249
L	D	13:35	2373.99997742
L	D	13:40	2326.99997705
L	D	13:45	718.99999326
L	D	13:50	501.99999511
L	D	13:55	433.99999602
L	D	14:00	543.99999537
L	D	14:05	694.99999430
L	D	14:10	584.99999521
L	D	14:15	548.99999535
L	D	14:20	987.99999189
L	D	14:25	602.99999505
L	D	14:30	504.99999586
L	D	14:35	73.99999942
L	D	14:40	500.99999589
L	D	14:45	906.99999262
L	D	14:50	68.99999944
L	D	14:55	425.99999659
L	D	15:00	223.99999801
L	D	15:05	133.99999879
L	D	15:10	1342.99998794
L	D	15:15	483.99999578
L	D	15:20	1009.99999089
L	D	15:25	593.99999433
L	D	15:30	938.99999143
L	D	15:35	1442.99998701
L	D	15:40	943.99999138
L	D	15:45	1372.99998706
L	D	15:50	979.99999057
L	D	15:55	1714.99998343
L	D	16:00	1986.99998199
L	D	16:05	973.99999111
L	D	16:10	739.99999333
L	D	16:15	494.99999555
L	D	16:20	592.99999504
L	D	16:25	259.99999784
L	D	16:30	260.99999783
L	D	16:35	221.99999819
L	D	16:40	69.99999942
L	D	16:45	173.99999858
L	D	16:50	339.99999727
L	D	16:55	451.99999627
L	D	17:00	1039.99999128
