d_lt	d_runway	d_route	d_proc	d_ac_cat	d_den	d_schedule	total
L	04	RIVER	1000	A306	E	20	0.02173913
L	04	RIVER	1000	B789	D	12	0.06521739
L	04	RIVER	1000	B789	D	14	0.04347826
L	04	RIVER	1009	B789	D	12	0.02173913
L	04	RIVER	1009	B789	D	14	0.04347826
L	04	RIVER	1009	E170	E	20	0.02173913
L	04	RIVER	1200	A319	D	17	0.08695652
L	04	RIVER	1200	A319	E	20	0.13043478
L	04	RIVER	1200	A320	D	09	0.02173913
L	04	RIVER	1200	A320	D	12	0.04347826
L	04	RIVER	1200	A320	D	14	0.10869565
L	04	RIVER	1200	A320	D	17	0.15217391
L	04	RIVER	1200	A320	E	20	0.02173913
L	04	RIVER	1200	A320	E	21	0.06521739
L	04	RIVER	1200	A321	D	09	0.06521739
L	04	RIVER	1200	A321	D	12	0.02173913
L	04	RIVER	1200	A321	D	17	0.06521739
L	04	RIVER	1200	A321	E	21	0.08695652
L	04	RIVER	1200	B737	D	10	0.02173913
L	04	RIVER	1200	B737	D	12	0.02173913
L	04	RIVER	1200	B737	E	21	0.04347826
L	04	RIVER	1200	B738	D	09	0.04347826
L	04	RIVER	1200	B738	D	10	0.02173913
L	04	RIVER	1200	B738	D	12	0.04347826
L	04	RIVER	1200	B738	D	14	0.06521739
L	04	RIVER	1200	B738	D	16	0.04347826
L	04	RIVER	1200	B738	D	17	0.06521739
L	04	RIVER	1200	B738	E	21	0.10869565
L	04	RIVER	1200	B772	D	10	0.02173913
L	04	RIVER	1200	B772	D	12	0.04347826
L	04	RIVER	1200	E190	D	12	0.06521739
L	04	RIVER	1200	E190	D	14	0.17391304
L	04	RIVER	1200	E190	D	16	0.02173913
L	04	RIVER	1200	E190	E	21	0.02173913
L	04	RIVER	1209	A319	D	14	0.02173913
L	04	RIVER	1209	A319	D	17	0.04347826
L	04	RIVER	1209	A319	E	20	0.08695652
L	04	RIVER	1209	A320	D	09	0.10869565
L	04	RIVER	1209	A320	D	10	0.04347826
L	04	RIVER	1209	A320	D	12	0.02173913
L	04	RIVER	1209	A320	D	14	0.10869565
L	04	RIVER	1209	A320	D	16	0.02173913
L	04	RIVER	1209	A320	D	17	0.19565217
L	04	RIVER	1209	A320	E	20	0.02173913
L	04	RIVER	1209	A320	E	21	0.10869565
L	04	RIVER	1209	A321	D	09	0.02173913
L	04	RIVER	1209	A321	D	12	0.10869565
L	04	RIVER	1209	A321	D	17	0.04347826
L	04	RIVER	1209	A321	E	21	0.04347826
L	04	RIVER	1209	B737	D	10	0.10869565
L	04	RIVER	1209	B737	D	12	0.02173913
L	04	RIVER	1209	B737	D	14	0.04347826
L	04	RIVER	1209	B737	E	21	0.04347826
L	04	RIVER	1209	B738	D	09	0.15217391
L	04	RIVER	1209	B738	D	10	0.04347826
L	04	RIVER	1209	B738	D	12	0.13043478
L	04	RIVER	1209	B738	D	14	0.02173913
L	04	RIVER	1209	B738	D	16	0.13043478
L	04	RIVER	1209	B738	D	17	0.23913043
L	04	RIVER	1209	B738	E	20	0.02173913
L	04	RIVER	1209	B738	E	21	0.19565217
L	04	RIVER	1209	B77W	D	10	0.04347826
L	04	RIVER	1209	E190	D	12	0.08695652
L	04	RIVER	1209	E190	D	14	0.13043478
L	04	RIVER	1209	E190	D	16	0.02173913
L	04	RIVER	1209	E190	E	20	0.06521739
L	06	ARTIP	1000	A306	D	09	5.56521739
L	06	ARTIP	1000	A306	D	12	11.06521739
L	06	ARTIP	1000	A306	E	22	0.06521739
L	06	ARTIP	1000	A306	N	04	0.10869565
L	06	ARTIP	1000	A306	N	05	0.28260870
L	06	ARTIP	1000	A320	D	08	1.39130435
L	06	ARTIP	1000	A320	D	12	0.43478261
L	06	ARTIP	1000	A320	D	14	2.65217391
L	06	ARTIP	1000	A320	D	15	0.17391304
L	06	ARTIP	1000	A320	D	16	3.58695652
L	06	ARTIP	1000	A320	D	18	7.28260869
L	06	ARTIP	1000	A320	E	19	1.34782609
L	06	ARTIP	1000	A321	D	08	3.28260870
