d_combination	d_den	d_schedule	total
/06	D	10	0.04347826
/06	D	14	0.36956521
/06	D	15	0.02173913
/06	D	17	4.71739130
/06	D	18	5.32608696
/06	E	20	3.50000000
/06	E	21	2.73913043
/06	E	22	25.67391302
/06	N	00	37.26086956
/06	N	01	16.19565217
/06	N	02	5.15217392
/06	N	03	7.86956520
/06	N	04	7.67391303
/06	N	05	38.43478259
/06	N	06	41.58695654
/06	N	23	48.65217393
/06+18C	D	07	0.08695652
/06+18C	D	18	0.02173913
/06+18R	D	07	2.54347826
/06+18R	D	08	2.47826084
/06+18R	D	09	0.28260869
/06+18R	D	11	0.19565217
/06+18R	D	13	0.08695652
/06+18R	D	15	0.32608695
/06+18R	D	16	0.08695652
/06+18R	D	18	2.49999999
/06+18R	E	19	9.47826086
/06+18R	E	20	0.67391304
/06+18R	E	22	0.21739130
/06+18R	N	00	0.28260869
/06+18R	N	01	0.06521739
/06+18R	N	02	0.02173913
/06+18R	N	04	0.04347826
/06+18R	N	05	0.76086955
/06+18R	N	06	1.06521738
/06+18R	N	23	0.65217390
/18C	D	17	1.04347824
/18C	D	18	0.93478259
/18C	E	20	0.60869565
/18C	E	21	0.93478260
/18C	E	22	5.80434780
/18C	N	00	7.58695650
/18C	N	01	2.36956520
/18C	N	02	1.60869563
/18C	N	03	1.93478259
/18C	N	04	2.10869563
/18C	N	05	8.89130430
/18C	N	06	8.65217389
/18C	N	23	7.67391302
/18R	D	10	0.13043478
/18R	D	14	0.10869565
/18R	D	15	0.13043478
/18R	D	17	8.39130436
/18R	D	18	7.00000000
/18R	E	20	5.13043479
/18R	E	21	4.73913043
/18R	E	22	16.17391305
/18R	N	00	9.47826087
/18R	N	01	3.84782607
/18R	N	02	2.13043475
/18R	N	03	2.45652172
/18R	N	04	3.30434781
/18R	N	05	17.26086957
/18R	N	06	23.30434783
/18R	N	23	17.60869565
/18R+18C	D	07	0.32608695
/18R+18C	D	18	0.21739130
/18R+18C	E	19	2.21739129
/18R+18C	E	20	0.13043478
/18R+18C+22	D	07	0.45652173
/18R+18C+22	D	08	0.19565217
/18R+18C+22	D	18	0.13043478
/18R+18C+22	E	19	0.43478260
/22	D	17	2.91304349
/22	D	18	2.95652174
/22	E	20	2.13043479
/22	E	21	1.91304347
/22	E	22	3.30434781
/22	N	06	2.52173913
/27	D	17	4.86956521
/27	D	18	5.34782607
/27	E	20	5.32608695
/27	E	21	5.86956521
/27	E	22	22.93478262
/27	N	00	5.91304345
/27	N	01	2.34782604
/27	N	02	0.78260868
/27	N	03	1.17391303
/27	N	04	1.89130434
/27	N	05	8.23913043
/27	N	06	13.50000000
/27	N	23	9.95652174
/36C	D	17	11.54347827
/36C	D	18	10.10869565
/36C	E	20	8.32608696
/36C	E	21	4.71739131
/36C	E	22	19.82608696
/36C	N	00	12.95652173
/36C	N	01	4.15217390
/36C	N	02	1.97826085
/36C	N	03	2.93478260
/36C	N	04	2.95652171
/36C	N	05	14.67391304
/36C	N	06	21.39130434
/36C	N	23	14.97826088
/36R	D	17	1.17391303
/36R	D	18	0.49999999
/36R	E	20	0.47826086
/36R	E	21	0.17391304
/36R	E	22	0.95652172
/36R	N	06	0.28260869
06/	E	22	0.45652173
06/	N	00	1.58695652
06/	N	01	0.58695651
06/	N	02	0.10869565
06/	N	03	0.19565217
06/	N	04	0.34782608
06/	N	05	1.43478258
06/	N	06	0.91304347
06/	N	23	1.73913041
06/06	D	07	3.78260871
06/06	D	08	2.13043477
