d_lt	d_runway	d_myear	d_den	d_period	total
L	04	1971	D	S	3.00000000
L	04	1971	E	S	3.00000000
L	04	1972	D	S	5.00000000
L	04	1973	D	S	5.00000000
L	04	1973	E	S	4.00000000
L	04	1974	D	S	1.00000000
L	04	1975	D	S	8.00000000
L	04	1976	D	S	3.00000000
L	04	1976	E	S	2.00000000
L	04	1977	D	S	3.00000000
L	04	1978	D	S	7.00000000
L	04	1979	D	S	6.00000000
L	04	1980	D	S	4.00000000
L	04	1980	E	S	3.00000000
L	04	1981	D	S	6.00000000
L	04	1981	E	S	1.00000000
L	04	1982	D	S	2.00000000
L	04	1982	E	S	1.00000000
L	04	1983	D	S	3.00000000
L	04	1984	D	S	3.00000000
L	04	1984	E	S	1.00000000
L	04	1985	D	S	1.00000000
L	04	1986	D	S	4.00000000
L	04	1986	E	S	1.00000000
L	04	1987	D	S	2.00000000
L	04	1987	E	S	1.00000000
L	04	1988	D	S	4.00000000
L	04	1988	E	S	1.00000000
L	04	1989	D	S	4.00000000
L	04	1989	E	S	2.00000000
L	04	1990	D	S	5.00000000
L	04	1990	E	S	1.00000000
L	04	1991	D	S	2.00000000
L	04	1991	E	S	2.00000000
L	04	1992	D	S	4.00000000
L	04	1992	E	S	1.00000000
L	04	1993	D	S	4.00000000
L	04	1994	D	S	3.00000000
L	04	1994	E	S	1.00000000
L	04	1995	D	S	1.00000000
L	04	1995	E	S	3.00000000
L	04	1996	D	S	3.00000000
L	04	1996	E	S	2.00000000
L	04	1997	D	S	1.00000000
L	04	1997	E	S	1.00000000
L	04	1998	D	S	3.00000000
L	04	1999	D	S	2.00000000
L	04	1999	E	S	1.00000000
L	04	2000	D	S	7.00000000
L	04	2000	E	S	2.00000000
L	04	2001	D	S	7.00000000
L	04	2001	E	S	2.00000000
L	04	2002	D	S	3.00000000
L	04	2003	D	S	2.00000000
L	04	2004	D	S	2.00000000
L	04	2004	E	S	1.00000000
L	04	2005	D	S	2.00000000
L	04	2006	D	S	2.00000000
L	04	2007	D	S	4.00000000
L	04	2007	E	S	2.00000000
L	04	2008	D	S	1.00000000
L	04	2008	E	S	2.00000000
L	04	2009	D	S	1.00000000
L	04	2009	E	S	2.00000000
L	04	2010	D	S	5.00000000
L	04	2010	E	S	2.00000000
L	04	2011	D	S	5.00000000
L	04	2011	E	S	1.00000000
L	04	2012	E	S	1.00000000
L	04	2013	D	S	3.00000000
L	04	2014	D	S	1.00000000
L	04	2014	E	S	2.00000000
L	04	2015	D	S	3.00000000
L	04	2015	E	S	1.00000000
L	04	2016	D	S	2.00000000
L	04	2016	E	S	1.00000000
L	06	1971	D	D	3128.00000000
L	06	1971	D	L	16048.00000000
L	06	1971	D	O	2336.00000000
L	06	1971	D	S	14555.00000000
L	06	1971	E	L	4260.00000000
L	06	1971	E	N	831.00000000
L	06	1971	E	O	3355.00000000
L	06	1971	E	S	5034.00000000
L	06	1971	N	N	5921.00000000
L	06	1971	N	O	1926.00000000
L	06	1972	D	D	3444.00000000
L	06	1972	D	L	15067.00000000
L	06	1972	D	O	2334.00000000
L	06	1972	D	S	14461.00000000
L	06	1972	E	L	4375.00000000
L	06	1972	E	N	700.00000000
L	06	1972	E	O	3326.00000000
