d_lt	d_den	d_schedule	total
L	D	07:10	559.00000000
L	D	07:15	184.00000000
L	D	07:20	313.00000000
L	D	07:25	1083.00000000
L	D	07:30	222.00000000
L	D	07:35	329.00000000
L	D	07:40	356.00000000
L	D	07:45	415.00000000
L	D	07:50	713.00000000
L	D	07:55	588.00000000
L	D	08:00	786.00000000
L	D	08:05	351.00000000
L	D	08:10	598.00000000
L	D	08:15	1648.00000000
L	D	08:20	126.00000000
L	D	08:25	594.00000000
L	D	08:30	1463.00000000
L	D	08:35	1269.00000000
L	D	08:40	1054.00000000
L	D	08:45	750.00000000
L	D	08:50	1030.00000000
L	D	08:55	479.00000000
L	D	09:00	1618.00000000
L	D	09:05	736.00000000
L	D	09:10	318.00000000
L	D	09:15	440.00000000
L	D	09:20	673.00000000
L	D	09:25	487.00000000
L	D	09:30	61.00000000
L	D	09:35	379.00000000
L	D	09:40	377.00000000
L	D	09:45	458.00000000
L	D	09:50	303.00000000
L	D	09:55	376.00000000
L	D	10:00	251.00000000
L	D	10:05	273.00000000
L	D	10:10	146.00000000
L	D	10:15	949.00000000
L	D	10:20	327.00000000
L	D	10:25	259.00000000
L	D	10:30	844.00000000
L	D	10:35	368.00000000
L	D	10:40	740.00000000
L	D	10:45	280.00000000
L	D	10:50	263.00000000
L	D	10:55	347.00000000
L	D	11:00	936.00000000
L	D	11:05	276.00000000
L	D	11:10	198.00000000
L	D	11:15	510.00000000
L	D	11:20	256.00000000
L	D	11:25	547.00000000
L	D	11:30	793.00000000
L	D	11:35	1671.00000000
L	D	11:40	312.00000000
L	D	11:45	980.00000000
L	D	11:50	358.00000000
L	D	11:55	124.00000000
L	D	12:00	438.00000000
L	D	12:05	377.00000000
L	D	12:10	251.00000000
L	D	12:15	475.00000000
L	D	12:20	108.00000000
L	D	12:25	472.00000000
L	D	12:30	378.00000000
L	D	12:35	596.00000000
L	D	12:40	650.00000000
L	D	12:45	193.00000000
L	D	12:50	364.00000000
L	D	12:55	441.00000000
L	D	13:00	417.00000000
L	D	13:05	631.00000000
L	D	13:10	553.00000000
L	D	13:15	790.00000000
L	D	13:20	331.00000000
L	D	13:25	371.00000000
L	D	13:30	532.00000000
L	D	13:35	1531.00000000
L	D	13:40	355.00000000
L	D	13:45	627.00000000
L	D	13:50	352.00000000
L	D	13:55	62.00000000
L	D	14:00	592.00000000
L	D	14:05	234.00000000
L	D	14:10	397.00000000
L	D	14:15	99.00000000
