d_lt	d_den	d_schedule	total
L	D	07:20	875.00000000
L	D	07:25	592.00000000
L	D	07:30	781.00000000
L	D	07:35	629.00000000
L	D	07:40	799.00000000
L	D	07:45	73.00000000
L	D	07:50	1513.00000000
L	D	07:55	709.00000000
L	D	08:00	988.00000000
L	D	08:05	778.00000000
L	D	08:10	1505.00000000
L	D	08:15	1137.00000000
L	D	08:20	991.00000000
L	D	08:25	455.00000000
L	D	08:30	1607.00000000
L	D	08:35	1624.00000000
L	D	08:40	1421.00000000
L	D	08:45	1445.00000000
L	D	08:50	1105.00000000
L	D	08:55	615.00000000
L	D	09:00	2352.00000000
L	D	09:05	593.00000000
L	D	09:10	905.00000000
L	D	09:15	745.00000000
L	D	09:20	1048.00000000
L	D	09:25	243.00000000
L	D	09:30	306.00000000
L	D	09:35	623.00000000
L	D	09:40	1485.00000000
L	D	09:45	378.00000000
L	D	09:50	225.00000000
L	D	09:55	274.00000000
L	D	10:00	986.00000000
L	D	10:05	398.00000000
L	D	10:10	746.00000000
L	D	10:15	305.00000000
L	D	10:20	1281.00000000
L	D	10:25	608.00000000
L	D	10:30	210.00000000
L	D	10:35	303.00000000
L	D	10:40	830.00000000
L	D	10:45	724.00000000
L	D	10:50	448.00000000
L	D	10:55	472.00000000
L	D	11:00	1896.00000000
L	D	11:05	318.00000000
L	D	11:10	1024.00000000
L	D	11:15	1191.00000000
L	D	11:20	762.00000000
L	D	11:25	809.00000000
L	D	11:30	330.00000000
L	D	11:35	2693.00000000
L	D	11:40	567.00000000
L	D	11:45	803.00000000
L	D	11:50	446.00000000
L	D	11:55	398.00000000
L	D	12:00	1547.00000000
L	D	12:05	118.00000000
L	D	12:10	318.00000000
L	D	12:15	361.00000000
L	D	12:20	984.00000000
L	D	12:25	458.00000000
L	D	12:30	776.00000000
L	D	12:35	267.00000000
L	D	12:40	746.00000000
L	D	12:45	543.00000000
L	D	12:50	189.00000000
L	D	12:55	668.00000000
L	D	13:00	2138.00000000
L	D	13:05	669.00000000
L	D	13:10	642.00000000
L	D	13:15	953.00000000
L	D	13:20	838.00000000
L	D	13:25	499.00000000
L	D	13:30	660.00000000
L	D	13:35	2197.00000000
L	D	13:40	2079.00000000
L	D	13:45	878.00000000
L	D	13:50	449.00000000
L	D	13:55	647.00000000
L	D	14:00	403.00000000
L	D	14:05	535.00000000
L	D	14:10	600.00000000
L	D	14:15	635.00000000
L	D	14:20	757.00000000
L	D	14:25	384.00000000
L	D	14:30	481.00000000
L	D	14:35	89.00000000
L	D	14:40	594.00000000
L	D	14:45	731.00000000
L	D	14:50	25.00000000
L	D	14:55	295.00000000
L	D	15:00	478.00000000
L	D	15:05	185.00000000
L	D	15:10	715.00000000
L	D	15:15	482.00000000
L	D	15:20	1054.00000000
L	D	15:25	423.00000000
L	D	15:30	1045.00000000
L	D	15:35	1638.00000000
L	D	15:40	662.00000000
L	D	15:45	1267.00000000
L	D	15:50	806.00000000
L	D	15:55	1827.00000000
L	D	16:00	1925.00000000
L	D	16:05	946.00000000
L	D	16:10	1116.00000000
L	D	16:15	358.00000000
L	D	16:20	386.00000000
L	D	16:25	430.00000000
L	D	16:30	206.00000000
L	D	16:35	211.00000000
L	D	16:40	306.00000000
L	D	16:45	161.00000000
L	D	16:50	455.00000000
L	D	16:55	218.00000000
L	D	17:00	653.00000000
L	D	17:05	323.00000000
L	D	17:10	605.00000000
L	D	17:15	434.00000000
L	D	17:20	327.00000000
L	D	17:25	465.00000000
L	D	17:30	348.00000000
L	D	17:35	489.00000000
L	D	17:40	82.00000000
L	D	17:45	1038.00000000
L	D	17:50	287.00000000
L	D	17:55	942.00000000
L	D	18:00	693.00000000
L	D	18:05	257.00000000
L	D	18:10	715.00000000
L	D	18:15	460.00000000
L	D	18:20	634.00000000
L	D	18:25	1167.00000000
L	D	18:30	558.00000000
L	D	18:35	665.00000000
L	D	18:40	186.00000000
L	D	18:45	802.00000000
L	D	18:50	916.00000000
L	D	18:55	2440.00000000
L	E	19:00	823.00000000
L	E	19:05	1003.00000000
L	E	19:10	218.00000000
L	E	19:15	2303.00000000
L	E	19:20	615.00000000
L	E	19:25	666.00000000
L	E	19:30	567.00000000
L	E	19:35	2982.00000000
L	E	19:40	346.00000000
L	E	19:45	1564.00000000
L	E	19:50	1741.00000000
L	E	19:55	1075.00000000
L	E	20:00	1199.00000000
L	E	20:05	693.00000000
L	E	20:10	378.00000000
L	E	20:15	37.00000000
L	E	20:20	1147.00000000
L	E	20:25	223.00000000
L	E	20:30	166.00000000
L	E	20:35	255.00000000
L	E	20:40	486.00000000
L	E	20:45	15.00000000
L	E	20:50	449.00000000
L	E	20:55	918.00000000
L	E	21:00	776.00000000
L	E	21:05	324.00000000
L	E	21:10	381.00000000
L	E	21:15	295.00000000
L	E	21:20	699.00000000
L	E	21:25	687.00000000
L	E	21:30	294.00000000
L	E	21:35	490.00000000
L	E	21:40	236.00000000
L	E	21:45	455.00000000
L	E	21:50	422.00000000
L	E	21:55	1129.00000000
L	E	22:00	698.00000000
L	E	22:05	249.00000000
L	E	22:10	335.00000000
L	E	22:15	1125.00000000
L	E	22:20	748.00000000
L	E	22:25	540.00000000
L	E	22:30	503.00000000
L	E	22:35	435.00000000
L	E	22:40	312.00000000
L	E	22:45	272.00000000
L	E	22:50	144.00000000
L	E	22:55	749.00000000
L	N	00:00	107.00000000
L	N	00:05	204.00000000
L	N	00:10	542.00000000
L	N	00:15	391.00000000
L	N	00:20	176.00000000
L	N	00:25	240.00000000
L	N	00:30	456.00000000
L	N	00:35	44.00000000
L	N	00:40	101.00000000
L	N	00:45	21.00000000
L	N	00:50	48.00000000
L	N	00:55	110.00000000
L	N	01:00	132.00000000
L	N	01:05	130.00000000
L	N	01:10	114.00000000
L	N	01:15	80.00000000
L	N	01:20	130.00000000
L	N	01:25	72.00000000
L	N	01:30	95.00000000
L	N	01:35	110.00000000
L	N	01:40	49.00000000
L	N	01:45	69.00000000
L	N	01:50	103.00000000
L	N	01:55	30.00000000
L	N	02:00	21.00000000
L	N	02:05	40.00000000
L	N	02:10	24.00000000
L	N	02:15	26.00000000
L	N	02:20	53.00000000
L	N	02:25	52.00000000
L	N	02:30	55.00000000
L	N	02:35	96.00000000
L	N	02:40	56.00000000
L	N	02:45	17.00000000
L	N	02:50	31.00000000
L	N	02:55	2.00000000
L	N	03:00	41.00000000
L	N	03:05	10.00000000
L	N	03:10	91.00000000
L	N	03:15	33.00000000
L	N	03:20	42.00000000
L	N	03:25	19.00000000
L	N	03:30	73.00000000
L	N	03:35	16.00000000
L	N	03:40	9.00000000
L	N	03:45	5.00000000
L	N	03:50	18.00000000
L	N	03:55	9.00000000
L	N	04:00	2.00000000
L	N	04:05	17.00000000
L	N	04:10	15.00000000
L	N	04:25	30.00000000
L	N	04:30	157.00000000
L	N	04:35	4.00000000
L	N	04:45	1.00000000
L	N	04:50	16.00000000
L	N	05:00	131.00000000
L	N	05:05	211.00000000
L	N	05:10	418.00000000
L	N	05:15	4.00000000
L	N	05:25	8.00000000
L	N	05:30	132.00000000
L	N	05:35	210.00000000
L	N	05:50	417.00000000
L	N	05:55	209.00000000
L	N	06:00	1036.00000000
L	N	06:10	210.00000000
L	N	06:15	95.00000000
L	N	06:20	1.00000000
L	N	06:25	98.00000000
L	N	06:30	69.00000000
L	N	06:35	211.00000000
L	N	06:40	210.00000000
L	N	06:45	232.00000000
L	N	06:50	1318.00000000
L	N	06:55	2042.00000000
L	N	23:10	743.00000000
L	N	23:15	81.00000000
L	N	23:20	76.00000000
L	N	23:25	38.00000000
L	N	23:30	98.00000000
L	N	23:35	51.00000000
L	N	23:40	50.00000000
L	N	23:45	143.00000000
L	N	23:50	295.00000000
L	N	23:55	133.00000000
T	D	07:00	2850.00000000
T	D	07:05	904.00000000
T	D	07:10	483.00000000
T	D	07:15	757.00000000
T	D	07:20	1559.00000000
T	D	07:25	296.00000000
T	D	07:30	317.00000000
T	D	07:35	504.00000000
T	D	07:40	181.00000000
T	D	07:45	259.00000000
T	D	07:50	812.00000000
T	D	07:55	363.00000000
T	D	08:00	1115.00000000
T	D	08:05	39.00000000
T	D	08:10	256.00000000
T	D	08:15	871.00000000
T	D	08:20	15.00000000
T	D	08:25	1058.00000000
T	D	08:30	886.00000000
T	D	08:35	543.00000000
T	D	08:40	425.00000000
T	D	08:45	1328.00000000
T	D	08:50	180.00000000
T	D	08:55	387.00000000
T	D	09:00	1057.00000000
T	D	09:05	230.00000000
T	D	09:10	470.00000000
T	D	09:15	760.00000000
T	D	09:20	1027.00000000
T	D	09:25	1140.00000000
T	D	09:30	1985.00000000
T	D	09:35	961.00000000
T	D	09:40	1878.00000000
T	D	09:45	1501.00000000
T	D	09:50	1431.00000000
T	D	09:55	227.00000000
T	D	10:00	2102.00000000
T	D	10:05	332.00000000
T	D	10:10	735.00000000
T	D	10:15	1308.00000000
T	D	10:20	1708.00000000
T	D	10:25	896.00000000
T	D	10:30	499.00000000
T	D	10:35	1145.00000000
T	D	10:40	225.00000000
T	D	10:45	959.00000000
T	D	10:50	640.00000000
T	D	10:55	398.00000000
T	D	11:00	940.00000000
T	D	11:05	295.00000000
T	D	11:10	546.00000000
T	D	11:15	578.00000000
T	D	11:20	1329.00000000
T	D	11:25	301.00000000
T	D	11:30	107.00000000
T	D	11:35	646.00000000
T	D	11:40	721.00000000
T	D	11:45	1061.00000000
T	D	11:50	995.00000000
