d_lt	d_runway	d_route	d_proc	d_ac_cat	d_den	d_schedule	total
L	04	RIVER	1009	A306	D	10	0.02504795
L	04	RIVER	1009	A306	E	21	0.02504795
L	04	RIVER	1200	A319	D	12	0.07514385
L	04	RIVER	1200	A319	D	14	0.02504795
L	04	RIVER	1200	A319	D	16	0.02504795
L	04	RIVER	1200	A319	D	17	0.07514385
L	04	RIVER	1200	A319	E	20	0.05009590
L	04	RIVER	1200	A319	E	21	0.02504795
L	04	RIVER	1200	A320	D	10	0.02504795
L	04	RIVER	1200	A320	D	12	0.10019180
L	04	RIVER	1200	A320	D	14	0.07514385
L	04	RIVER	1200	A320	D	17	0.20038360
L	04	RIVER	1200	A320	E	20	0.05009590
L	04	RIVER	1200	A320	E	21	0.12523975
L	04	RIVER	1200	A321	D	09	0.07514385
L	04	RIVER	1200	A321	D	12	0.05009590
L	04	RIVER	1200	A321	D	17	0.10019180
L	04	RIVER	1200	A321	E	21	0.02504795
L	04	RIVER	1200	B737	D	09	0.02504795
L	04	RIVER	1200	B737	D	10	0.02504795
L	04	RIVER	1200	B737	D	12	0.05009590
L	04	RIVER	1200	B737	D	16	0.05009590
L	04	RIVER	1200	B737	E	21	0.02504795
L	04	RIVER	1200	B738	D	09	0.07514385
L	04	RIVER	1200	B738	D	10	0.02504795
L	04	RIVER	1200	B738	D	12	0.17533565
L	04	RIVER	1200	B738	D	14	0.05009590
L	04	RIVER	1200	B738	D	16	0.02504795
L	04	RIVER	1200	B738	D	17	0.20038360
L	04	RIVER	1200	B738	E	20	0.02504795
L	04	RIVER	1200	B738	E	21	0.15028770
L	04	RIVER	1200	B739	E	21	0.02504795
L	04	RIVER	1200	B763	E	21	0.05009590
L	04	RIVER	1200	B772	D	10	0.05009590
L	04	RIVER	1200	B77W	D	10	0.02504795
L	04	RIVER	1200	E190	D	14	0.05009590
L	04	RIVER	1200	E190	D	16	0.02504795
L	04	RIVER	1200	E190	E	20	0.10019180
L	04	RIVER	1200	E190	E	21	0.17533565
L	04	RIVER	1209	A319	D	12	0.12523975
L	04	RIVER	1209	A319	D	14	0.02504795
L	04	RIVER	1209	A319	D	16	0.02504795
L	04	RIVER	1209	A319	D	17	0.02504795
L	04	RIVER	1209	A319	E	20	0.05009590
L	04	RIVER	1209	A319	E	21	0.02504795
L	04	RIVER	1209	A320	D	09	0.02504795
L	04	RIVER	1209	A320	D	10	0.05009590
L	04	RIVER	1209	A320	D	12	0.10019180
L	04	RIVER	1209	A320	D	14	0.07514385
L	04	RIVER	1209	A320	D	17	0.20038360
L	04	RIVER	1209	A320	E	20	0.07514385
L	04	RIVER	1209	A320	E	21	0.07514385
L	04	RIVER	1209	A321	D	12	0.07514385
L	04	RIVER	1209	A321	D	17	0.07514385
L	04	RIVER	1209	A321	E	21	0.05009590
L	04	RIVER	1209	B737	D	10	0.07514385
L	04	RIVER	1209	B737	D	12	0.07514385
L	04	RIVER	1209	B737	D	14	0.02504795
L	04	RIVER	1209	B737	D	16	0.05009590
L	04	RIVER	1209	B737	E	21	0.05009590
L	04	RIVER	1209	B738	D	09	0.02504795
L	04	RIVER	1209	B738	D	10	0.07514385
L	04	RIVER	1209	B738	D	12	0.12523975
L	04	RIVER	1209	B738	D	14	0.02504795
L	04	RIVER	1209	B738	D	16	0.02504795
L	04	RIVER	1209	B738	D	17	0.30057540
L	04	RIVER	1209	B738	E	21	0.27552745
L	04	RIVER	1209	B739	E	21	0.02504795
L	04	RIVER	1209	B763	D	17	0.02504795
L	04	RIVER	1209	B772	D	10	0.07514385
L	04	RIVER	1209	E190	D	12	0.05009590
L	04	RIVER	1209	E190	D	14	0.22543155
L	04	RIVER	1209	E190	E	20	0.15028770
L	04	RIVER	1209	E190	E	21	0.05009590
L	06	ARTIP	1000	A306	D	09	5.43540515
L	06	ARTIP	1000	A306	D	12	11.12128980
L	06	ARTIP	1000	A306	E	22	0.02504795
L	06	ARTIP	1000	A306	N	04	0.53612475
L	06	ARTIP	1000	A310	D	18	0.22543155
L	06	ARTIP	1000	BCS1	D	09	1.30249340
L	06	ARTIP	1000	BCS1	D	17	12.64921475
L	06	ARTIP	1000	CRJ7	D	08	0.02504795
L	06	ARTIP	1000	CRJ7	D	09	1.72830855
L	06	ARTIP	1000	CRJ7	D	11	0.47591105
L	06	ARTIP	1000	CRJ7	D	12	0.50095900
L	06	ARTIP	1000	CRJ7	D	13	0.57610285
L	06	ARTIP	1000	CRJ9	D	07	0.02504795
L	06	ARTIP	1000	CRJ9	D	08	0.55105490
L	06	ARTIP	1000	CRJ9	D	09	4.08281585
L	06	ARTIP	1000	CRJ9	D	10	5.86122030
L	06	ARTIP	1000	CRJ9	D	11	2.68013065
L	06	ARTIP	1000	CRJ9	D	12	5.33521335
