d_combination	d_den	d_schedule	total
	D	07	26057.88334400
	D	08	35395.75910400
	D	09	37124.06765400
	D	10	32148.54286600
	D	11	30746.85958400
	D	12	32131.51026000
	D	13	32151.54862000
	D	14	30747.86150200
	D	15	28502.56326400
	D	16	28891.30744800
	D	17	23906.76539800
	D	18	24149.22955400
	E	19	32685.57091400
	E	20	30712.79437200
	E	21	28718.97755200
	E	22	13928.66403600
	N	00	3588.46166000
	N	01	1791.16726000
	N	02	1039.57142000
	N	03	721.98133000
	N	04	1097.77925000
	N	05	5262.19207000
	N	06	15124.84509000
	N	23	3374.01176000
