d_lt	d_runway	d_myear	d_den	d_period	total
L	04	1971	D		2.00383600
L	04	1971	E		6.01150800
L	04	1972	D		1.00191800
L	04	1972	E		2.00383600
L	04	1973	D		4.00767200
L	04	1973	E		1.00191800
L	04	1974	D		2.00383600
L	04	1974	E		4.00767200
L	04	1975	D		5.00959000
L	04	1975	E		2.00383600
L	04	1976	D		4.00767200
L	04	1976	E		1.00191800
L	04	1977	D		6.01150800
L	04	1978	D		1.00191800
L	04	1978	E		2.00383600
L	04	1979	D		2.00383600
L	04	1980	D		2.00383600
L	04	1981	D		2.00383600
L	04	1981	E		1.00191800
L	04	1982	D		8.01534400
L	04	1983	D		5.00959000
L	04	1983	E		3.00575400
L	04	1984	D		3.00575400
L	04	1985	D		6.01150800
L	04	1985	E		5.00959000
L	04	1986	D		1.00191800
L	04	1986	E		3.00575400
L	04	1987	D		3.00575400
L	04	1987	E		1.00191800
L	04	1988	D		7.01342600
L	04	1988	E		3.00575400
L	04	1989	D		3.00575400
L	04	1989	E		3.00575400
L	04	1990	D		2.00383600
L	04	1991	D		6.01150800
L	04	1991	E		2.00383600
L	04	1992	D		4.00767200
L	04	1992	E		2.00383600
L	04	1993	D		4.00767200
L	04	1993	E		1.00191800
L	04	1994	D		6.01150800
L	04	1994	E		3.00575400
L	04	1995	D		4.00767200
L	04	1995	E		2.00383600
L	04	1996	D		7.01342600
L	04	1996	E		2.00383600
L	04	1997	D		1.00191800
L	04	1998	D		6.01150800
L	04	1998	E		1.00191800
L	04	1999	D		1.00191800
L	04	2000	D		5.00959000
L	04	2001	D		3.00575400
L	04	2002	D		1.00191800
L	04	2003	D		7.01342600
L	04	2004	D		4.00767200
L	04	2004	E		2.00383600
L	04	2005	D		2.00383600
L	04	2005	E		1.00191800
L	04	2006	D		3.00575400
L	04	2006	E		2.00383600
L	04	2007	D		5.00959000
L	04	2007	E		3.00575400
L	04	2008	D		3.00575400
L	04	2008	E		3.00575400
L	04	2009	D		3.00575400
L	04	2009	E		3.00575400
L	04	2010	D		3.00575400
L	04	2010	E		3.00575400
L	06	1971	D		36801.45005800
L	06	1971	E		14993.70287000
L	06	1971	N		8083.74004000
L	06	1972	D		35669.28271800
L	06	1972	E		14594.93950600
L	06	1972	N		7983.66342000
L	06	1973	D		32167.57930800
L	06	1973	E		14139.06681600
L	06	1973	N		7764.10757000
L	06	1974	D		30049.52465600
L	06	1974	E		12201.35740400
L	06	1974	N		7184.07165000
L	06	1975	D		36368.62148200
L	06	1975	E		14464.69016600
L	06	1975	N		8484.04652000
L	06	1976	D		38252.22732200
L	06	1976	E		15599.86326000
L	06	1976	N		8575.95362000
L	06	1977	D		31565.42659000
L	06	1977	E		12994.87646000
L	06	1977	N		7266.78804000
L	06	1978	D		27735.09407600
L	06	1978	E		11998.96996800
L	06	1978	N		7037.02029000
L	06	1979	D		26421.57957800
L	06	1979	E		11461.94192000
L	06	1979	N		6936.94367000
L	06	1980	D		31860.99240000
L	06	1980	E		12844.58876000
L	06	1980	N		7230.02520000
L	06	1981	D		27293.24823800
L	06	1981	E		11821.63048200
L	06	1981	N		7016.59649000
L	06	1982	D		25890.56303800
L	06	1982	E		11669.33894600
L	06	1982	N		6898.13845000
L	06	1983	D		28213.00896200
L	06	1983	E		12097.15793200
L	06	1983	N		6758.23542000
L	06	1984	D		29922.28107000
L	06	1984	E		13323.50556400
L	06	1984	N		7672.20047000
L	06	1985	D		24164.25832400
L	06	1985	E		10769.61658200
L	06	1985	N		6084.25002000
L	06	1986	D		31422.15231600
L	06	1986	E		13293.44802400
L	06	1986	N		6954.30390000
L	06	1987	D		29249.99409200
L	06	1987	E		12076.11765400
L	06	1987	N		7025.78720000
L	06	1988	D		27287.23673000
L	06	1988	E		11411.84602000
L	06	1988	N		6174.11474000
L	06	1989	D		31945.15351200
L	06	1989	E		14301.37753200
L	06	1989	N		7090.12217000
L	06	1990	D		28098.79031000
L	06	1990	E		12892.68082400
L	06	1990	N		6573.40003000
L	06	1991	D		31822.91951600
L	06	1991	E		13597.02917800
L	06	1991	N		7615.01383000
L	06	1992	D		28282.14130400
L	06	1992	E		11735.46553400
L	06	1992	N		6447.79366000
L	06	1993	D		31157.64596400
L	06	1993	E		13178.22745400
L	06	1993	N		6983.91841000
L	06	1994	D		26195.14611000
L	06	1994	E		11963.90283800
L	06	1994	N		6108.75858000
L	06	1995	D		34014.11418200
L	06	1995	E		14319.41205600
L	06	1995	N		7722.23878000
L	06	1996	D		37507.80224800
L	06	1996	E		16739.04402600
L	06	1996	N		8269.59662000
L	06	1997	D		33298.74473000
L	06	1997	E		13544.92944200
L	06	1997	N		7889.71394000
L	06	1998	D		22635.33145600
L	06	1998	E		9624.42430800
L	06	1998	N		5553.23122000
L	06	1999	D		28748.03317400
L	06	1999	E		12691.29530600
L	06	1999	N		7030.89315000
L	06	2000	D		22516.10321400
L	06	2000	E		10313.74389200
L	06	2000	N		6140.41547000
L	06	2001	D		30533.45105000
L	06	2001	E		12885.66739800
L	06	2001	N		7208.58021000
