d_lt	d_den	d_schedule	total
L	D	07:20	1860.56172600
L	D	07:25	1059.02732600
L	D	07:30	796.52481000
L	D	07:35	872.67057800
L	D	07:40	1210.31694400
L	D	07:45	333.63869400
L	D	07:50	1889.61734800
L	D	07:55	1735.32197600
L	D	08:00	1596.05537400
L	D	08:05	664.27163400
L	D	08:10	1956.74585400
L	D	08:15	3298.31405600
L	D	08:20	714.36753400
L	D	08:25	1111.12706200
L	D	08:30	4197.03450200
L	D	08:35	2313.42866200
L	D	08:40	3483.66888600
L	D	08:45	2122.06232400
L	D	08:50	1930.69598600
L	D	08:55	687.31574800
L	D	09:00	3877.42266000
L	D	09:05	1443.76383800
L	D	09:10	1565.99783400
L	D	09:15	948.81634600
L	D	09:20	1520.91152400
L	D	09:25	597.14312800
L	D	09:30	1122.14816000
L	D	09:35	698.33684600
L	D	09:40	1510.89234400
L	D	09:45	549.05106400
L	D	09:50	578.10668600
L	D	09:55	878.68208600
L	D	10:00	1181.26132200
L	D	10:05	729.39630400
L	D	10:10	1248.38982800
L	D	10:15	1232.35914000
L	D	10:20	1320.52792400
L	D	10:25	711.36178000
L	D	10:30	1168.23638800
L	D	10:35	718.37520600
L	D	10:40	1012.93909800
L	D	10:45	1302.49340000
L	D	10:50	820.57084200
L	D	10:55	753.44233600
L	D	11:00	2746.25723800
L	D	11:05	652.24861800
L	D	11:10	1057.02349000
L	D	11:15	1605.07263600
L	D	11:20	582.11435800
L	D	11:25	1683.22224000
L	D	11:30	1305.49915400
L	D	11:35	4320.27041600
L	D	11:40	1126.15583200
L	D	11:45	1594.05153800
L	D	11:50	1004.92375400
L	D	11:55	528.01078600
L	D	12:00	1988.80723000
L	D	12:05	377.72308600
L	D	12:10	988.89306600
L	D	12:15	609.16614400
L	D	12:20	940.80100200
L	D	12:25	941.80292000
L	D	12:30	1119.14240600
L	D	12:35	735.40781200
L	D	12:40	1293.47613800
L	D	12:45	827.58426800
L	D	12:50	405.77679000
L	D	12:55	1318.52408800
L	D	13:00	2025.87819600
L	D	13:05	802.53631800
L	D	13:10	1740.33156600
L	D	13:15	1707.26827200
L	D	13:20	987.89114800
L	D	13:25	926.77415000
L	D	13:30	1573.01126000
L	D	13:35	4052.75831000
L	D	13:40	3136.00334000
L	D	13:45	1309.50682600
L	D	13:50	776.48645000
L	D	13:55	931.78374000
L	D	14:00	869.66482400
L	D	14:05	1155.21145400
L	D	14:10	900.72428200
L	D	14:15	685.31191200
L	D	14:20	967.85278800
L	D	14:25	954.82785400
L	D	14:30	848.62454600
L	D	14:35	420.80556000
L	D	14:40	600.14888200
L	D	14:45	1086.07911200
L	D	14:50	676.29465000
L	D	14:55	854.63605400
L	D	15:00	618.18340600
L	D	15:05	381.73075800
L	D	15:10	1665.18771600
L	D	15:15	664.27163400
L	D	15:20	1588.04003000
L	D	15:25	1056.02157200
L	D	15:30	1629.11866800
L	D	15:35	2335.47085800
L	D	15:40	1328.54326800
L	D	15:45	2103.02588200
L	D	15:50	1850.54254600
L	D	15:55	2785.33204000
L	D	16:00	2541.86596600
L	D	16:05	1152.20570000
L	D	16:10	1080.06760400
L	D	16:15	908.73962600
L	D	16:20	1119.14240600
L	D	16:25	468.89762400
L	D	16:30	427.81898600
L	D	16:35	437.83816600
L	D	16:40	277.53128600
L	D	16:45	339.65020200
L	D	16:50	657.25820800
L	D	16:55	717.37328800
L	D	17:00	1411.70246200
L	D	17:05	219.42004200
L	D	17:10	654.25245400
L	D	17:15	606.16039000
L	D	17:20	656.25629000
L	D	17:25	538.02996600
L	D	17:30	841.61112000
L	D	17:35	1105.11555400
L	D	17:40	575.10093200
L	D	17:45	1211.31886200
L	D	17:50	875.67633200
L	D	17:55	979.87580400
L	D	18:00	1257.40709000
L	D	18:05	794.52097400
L	D	18:10	626.19875000
L	D	18:15	707.35410800
L	D	18:20	1364.61231600
L	D	18:25	1313.51449800
L	D	18:30	887.69934800
L	D	18:35	863.65331600
L	D	18:40	715.36945200
L	D	18:45	1684.22415800
L	D	18:50	1159.21912600
L	D	18:55	3314.34474400
L	E	19:00	1647.15319200
L	E	19:05	1186.27091200
L	E	19:10	405.77679000
L	E	19:15	4614.83430800
L	E	19:20	1263.41859800
L	E	19:25	847.62262800
L	E	19:30	1319.52600600
L	E	19:35	4837.26010400
L	E	19:40	1094.09445600
L	E	19:45	3515.73026200
L	E	19:50	2220.25028800
L	E	19:55	1428.73506800
L	E	20:00	1919.67488800
L	E	20:05	1160.22104400
L	E	20:10	625.19683200
L	E	20:15	259.49676200
L	E	20:20	1212.32078000
L	E	20:25	844.61687400
