d_lt	d_runway	d_myear	d_den	d_period	total
L	04	2021	D	S	5.00000000
L	04	2021	E	S	3.00000000
L	06	2021	D	D	1400.00000000
L	06	2021	D	L	7704.00000000
L	06	2021	D	O	1964.00000000
L	06	2021	D	S	5255.00000000
L	06	2021	E	L	2347.00000000
L	06	2021	E	N	457.00000000
L	06	2021	E	O	1462.00000000
L	06	2021	E	S	2389.00000000
L	06	2021	N	N	2664.00000000
L	06	2021	N	O	937.00000000
L	09	2021	N	O	11.00000000
L	18C	2021	D	D	2037.00000000
L	18C	2021	D	L	27143.00000000
L	18C	2021	D	O	811.00000000
L	18C	2021	D	S	1061.00000000
L	18C	2021	E	L	6901.00000000
L	18C	2021	E	N	99.00000000
L	18C	2021	E	O	304.00000000
L	18C	2021	E	S	396.00000000
L	18C	2021	N	N	437.00000000
L	18C	2021	N	O	319.00000000
L	18R	2021	D	D	3623.00000000
L	18R	2021	D	L	30950.00000000
L	18R	2021	D	O	6920.00000000
L	18R	2021	D	S	25455.00000000
L	18R	2021	E	L	7497.00000000
L	18R	2021	E	N	1336.00000000
L	18R	2021	E	O	4129.00000000
L	18R	2021	E	S	8242.00000000
L	18R	2021	N	N	8009.00000000
L	18R	2021	N	O	3558.00000000
L	22	2021	D	D	81.00000000
L	22	2021	D	L	1729.00000000
L	22	2021	D	O	50.00000000
L	22	2021	D	S	317.00000000
L	22	2021	E	L	580.00000000
L	22	2021	E	O	8.00000000
L	22	2021	E	S	23.00000000
L	22	2021	N	O	8.00000000
L	24	2021	D	D	1.00000000
L	24	2021	D	L	72.00000000
L	24	2021	D	O	5.00000000
L	24	2021	D	S	15.00000000
L	24	2021	E	L	26.00000000
L	24	2021	E	O	7.00000000
L	24	2021	E	S	3.00000000
L	24	2021	N	N	1.00000000
L	27	2021	D	D	844.00000000
L	27	2021	D	L	11121.00000000
L	27	2021	D	O	1613.00000000
L	27	2021	D	S	4848.00000000
L	27	2021	E	L	2457.00000000
L	27	2021	E	N	171.00000000
