d_lt	d_runway	d_myear	d_den	d_period	total
L	04	1971	D	L	7.00000000
L	04	1971	E	L	3.00000000
L	04	1972	D	L	2.00000000
L	04	1972	E	L	1.00000000
L	04	1973	E	L	1.00000000
L	04	1974	D	L	3.00000000
L	04	1974	E	L	2.00000000
L	04	1975	D	L	8.00000000
L	04	1975	E	L	2.00000000
L	04	1976	D	L	2.00000000
L	04	1976	E	L	4.00000000
L	04	1977	D	L	3.00000000
L	04	1977	E	L	2.00000000
L	04	1978	D	L	4.00000000
L	04	1979	D	L	2.00000000
L	04	1979	E	L	1.00000000
L	04	1980	E	L	1.00000000
L	04	1981	D	L	2.00000000
L	04	1981	E	L	1.00000000
L	04	1982	D	L	4.00000000
L	04	1982	E	L	1.00000000
L	04	1983	D	L	2.00000000
L	04	1983	E	L	1.00000000
L	04	1984	D	L	1.00000000
L	04	1985	D	L	1.00000000
L	04	1986	D	L	2.00000000
L	04	1986	E	L	1.00000000
L	04	1987	D	L	1.00000000
L	04	1988	D	L	3.00000000
L	04	1988	E	L	1.00000000
L	04	1989	D	L	5.00000000
L	04	1990	D	L	2.00000000
L	04	1990	E	L	1.00000000
L	04	1991	E	L	1.00000000
L	04	1992	D	L	8.00000000
L	04	1993	D	L	4.00000000
L	04	1994	D	L	1.00000000
L	04	1995	D	L	3.00000000
L	04	1995	E	L	1.00000000
L	04	1996	D	L	4.00000000
L	04	1997	D	L	1.00000000
L	04	1997	E	L	1.00000000
L	04	1998	D	L	1.00000000
L	04	1998	E	L	1.00000000
L	04	1999	D	L	6.00000000
L	04	2000	D	L	1.00000000
L	04	2001	D	L	2.00000000
L	04	2001	E	L	2.00000000
L	04	2002	D	L	5.00000000
L	04	2002	E	L	1.00000000
L	04	2003	D	L	4.00000000
L	04	2003	E	L	3.00000000
L	04	2004	D	L	2.00000000
L	04	2004	E	L	1.00000000
L	04	2005	D	L	5.00000000
L	04	2006	D	L	2.00000000
L	04	2007	D	L	2.00000000
L	04	2007	E	L	1.00000000
L	04	2008	D	L	2.00000000
L	04	2009	D	L	2.00000000
L	04	2010	D	L	1.00000000
L	04	2010	E	L	1.00000000
L	04	2011	D	L	1.00000000
L	04	2012	D	L	4.00000000
L	04	2012	E	L	1.00000000
L	04	2013	D	L	2.00000000
L	04	2013	E	L	2.00000000
L	04	2014	D	L	2.00000000
L	04	2015	D	L	2.00000000
L	06	1971	D	D	1593.00000000
L	06	1971	D	L	14594.00000000
L	06	1971	D	O	3684.00000000
L	06	1971	D	S	9696.00000000
L	06	1971	E	L	4700.00000000
L	06	1971	E	N	854.00000000
L	06	1971	E	O	2430.00000000
L	06	1971	E	S	4069.00000000
L	06	1971	N	N	4308.00000000
L	06	1971	N	O	1436.00000000
L	06	1972	D	D	1645.00000000
L	06	1972	D	L	14837.00000000
L	06	1972	D	O	3729.00000000
L	06	1972	D	S	10195.00000000
L	06	1972	E	L	4443.00000000
L	06	1972	E	N	966.00000000
