d_lt	d_runway	d_myear	d_den	d_period	total
L	04	1971	D	L	7.00000000
L	04	1971	E	L	5.00000000
L	04	1972	D	L	5.00000000
L	04	1972	E	L	2.00000000
L	04	1973	D	L	3.00000000
L	04	1973	E	L	3.00000000
L	04	1974	D	L	4.00000000
L	04	1974	E	L	6.00000000
L	04	1975	D	L	2.00000000
L	04	1976	D	L	3.00000000
L	04	1976	E	L	3.00000000
L	04	1977	D	L	1.00000000
L	04	1977	E	L	2.00000000
L	04	1978	D	L	5.00000000
L	04	1978	E	L	2.00000000
L	04	1979	D	L	4.00000000
L	04	1979	E	L	1.00000000
L	04	1980	D	L	6.00000000
L	04	1981	D	L	1.00000000
L	04	1981	E	L	1.00000000
L	04	1982	D	L	4.00000000
L	04	1982	E	L	1.00000000
L	04	1983	D	L	6.00000000
L	04	1983	E	L	2.00000000
L	04	1984	D	L	7.00000000
L	04	1984	E	L	2.00000000
L	04	1985	D	L	3.00000000
L	04	1985	E	L	2.00000000
L	04	1986	D	L	2.00000000
L	04	1986	E	L	1.00000000
L	04	1987	D	L	3.00000000
L	04	1988	D	L	2.00000000
L	04	1988	E	L	2.00000000
L	04	1989	D	L	6.00000000
L	04	1990	D	L	3.00000000
L	04	1990	E	L	1.00000000
L	04	1991	D	L	3.00000000
L	04	1991	E	L	1.00000000
L	04	1992	D	L	8.00000000
L	04	1993	D	L	2.00000000
L	04	1993	E	L	2.00000000
L	04	1994	D	L	3.00000000
L	04	1994	E	L	1.00000000
L	04	1995	D	L	6.00000000
L	04	1996	D	L	2.00000000
L	04	1996	E	L	1.00000000
L	04	1997	D	L	5.00000000
L	04	1997	E	L	1.00000000
L	04	1998	D	L	2.00000000
L	04	1999	D	L	6.00000000
L	04	1999	E	L	2.00000000
L	04	2000	D	L	4.00000000
L	04	2000	E	L	2.00000000
L	04	2001	D	L	3.00000000
L	04	2001	E	L	1.00000000
L	04	2002	D	L	6.00000000
L	04	2003	D	L	2.00000000
L	04	2004	D	L	3.00000000
L	04	2005	D	L	5.00000000
L	04	2005	E	L	1.00000000
L	04	2006	D	L	6.00000000
L	04	2006	E	L	1.00000000
L	04	2007	D	L	4.00000000
L	04	2007	E	L	3.00000000
L	04	2008	D	L	2.00000000
L	04	2009	D	L	3.00000000
L	04	2009	E	L	2.00000000
L	04	2010	D	L	5.00000000
L	04	2011	D	L	2.00000000
L	04	2011	E	L	3.00000000
L	04	2012	D	L	5.00000000
L	04	2013	D	L	4.00000000
L	04	2013	E	L	1.00000000
L	04	2014	D	L	5.00000000
L	04	2015	D	L	1.00000000
L	06	1971	D	D	2253.00000000
L	06	1971	D	L	20433.00000000
L	06	1971	D	O	4549.00000000
L	06	1971	D	S	13818.00000000
L	06	1971	E	L	6086.00000000
L	06	1971	E	N	1175.00000000
L	06	1971	E	O	3522.00000000
L	06	1971	E	S	5763.00000000
L	06	1971	N	N	6161.00000000
L	06	1971	N	O	2163.00000000
L	06	1972	D	D	2102.00000000
L	06	1972	D	L	18902.00000000
L	06	1972	D	O	4460.00000000
L	06	1972	D	S	13097.00000000
L	06	1972	E	L	5717.00000000
L	06	1972	E	N	1165.00000000
L	06	1972	E	O	3255.00000000
L	06	1972	E	S	5470.00000000
L	06	1972	N	N	6079.00000000
L	06	1972	N	O	2305.00000000
L	06	1973	D	D	1970.00000000
L	06	1973	D	L	17518.00000000
L	06	1973	D	O	4043.00000000
L	06	1973	D	S	11552.00000000
L	06	1973	E	L	5421.00000000
L	06	1973	E	N	1215.00000000
L	06	1973	E	O	3623.00000000
L	06	1973	E	S	5565.00000000
L	06	1973	N	N	6061.00000000
L	06	1973	N	O	2250.00000000
L	06	1974	D	D	2010.00000000
L	06	1974	D	L	16553.00000000
L	06	1974	D	O	3289.00000000
L	06	1974	D	S	11713.00000000
L	06	1974	E	L	5003.00000000
L	06	1974	E	N	923.00000000
L	06	1974	E	O	2848.00000000
L	06	1974	E	S	4565.00000000
L	06	1974	N	N	5222.00000000
L	06	1974	N	O	2053.00000000
L	06	1975	D	D	2351.00000000
L	06	1975	D	L	20140.00000000
L	06	1975	D	O	4498.00000000
L	06	1975	D	S	14133.00000000
L	06	1975	E	L	5759.00000000
L	06	1975	E	N	1229.00000000
L	06	1975	E	O	3659.00000000
L	06	1975	E	S	5992.00000000
L	06	1975	N	N	6161.00000000
L	06	1975	N	O	2457.00000000
L	06	1976	D	D	2159.00000000
L	06	1976	D	L	19786.00000000
L	06	1976	D	O	4705.00000000
L	06	1976	D	S	14406.00000000
L	06	1976	E	L	5771.00000000
L	06	1976	E	N	1325.00000000
