d_lt	d_runway	d_myear	d_den	d_period	total
L	04	2021	D	L	2.00000000
L	04	2021	E	L	1.00000000
L	06	2021	D	D	1063.00000000
L	06	2021	D	L	10523.00000000
L	06	2021	D	O	2925.00000000
L	06	2021	D	S	6322.00000000
L	06	2021	E	L	3449.00000000
L	06	2021	E	N	696.00000000
L	06	2021	E	O	1803.00000000
L	06	2021	E	S	2805.00000000
L	06	2021	N	N	3355.00000000
L	06	2021	N	O	1230.00000000
L	09	2021	D	D	11.00000000
L	09	2021	D	L	333.00000000
L	09	2021	D	S	12.00000000
L	09	2021	E	L	60.00000000
L	09	2021	E	N	4.00000000
L	09	2021	N	N	50.00000000
L	09	2021	N	O	14.00000000
L	18C	2021	D	D	1829.00000000
L	18C	2021	D	L	27476.00000000
L	18C	2021	D	O	651.00000000
L	18C	2021	D	S	1270.00000000
L	18C	2021	E	L	6796.00000000
L	18C	2021	E	N	49.00000000
L	18C	2021	E	O	279.00000000
L	18C	2021	E	S	256.00000000
L	18C	2021	N	N	317.00000000
L	18C	2021	N	O	271.00000000
L	18R	2021	D	D	3668.00000000
L	18R	2021	D	L	33506.00000000
L	18R	2021	D	O	9416.00000000
L	18R	2021	D	S	24500.00000000
L	18R	2021	E	L	7853.00000000
L	18R	2021	E	N	1530.00000000
L	18R	2021	E	O	4076.00000000
L	18R	2021	E	S	8056.00000000
L	18R	2021	N	N	8125.00000000
L	18R	2021	N	O	3326.00000000
L	22	2021	D	D	78.00000000
L	22	2021	D	L	1487.00000000
L	22	2021	D	O	219.00000000
L	22	2021	D	S	881.00000000
L	22	2021	E	L	295.00000000
L	22	2021	E	N	1.00000000
L	22	2021	E	O	45.00000000
L	22	2021	E	S	236.00000000
L	22	2021	N	N	2.00000000
L	22	2021	N	O	9.00000000
L	24	2021	D	D	7.00000000
L	24	2021	D	L	131.00000000
L	24	2021	D	O	32.00000000
L	24	2021	D	S	36.00000000
L	24	2021	E	L	32.00000000
L	24	2021	E	O	3.00000000
L	24	2021	E	S	5.00000000
L	24	2021	N	O	2.00000000
L	27	2021	D	D	744.00000000
L	27	2021	D	L	9905.00000000
L	27	2021	D	O	2184.00000000
L	27	2021	D	S	4734.00000000
L	27	2021	E	L	2450.00000000
L	27	2021	E	N	79.00000000
L	27	2021	E	O	618.00000000
L	27	2021	E	S	1235.00000000
L	27	2021	N	N	524.00000000
L	27	2021	N	O	435.00000000
L	36C	2021	D	D	585.00000000
L	36C	2021	D	L	7771.00000000
L	36C	2021	D	O	151.00000000
L	36C	2021	D	S	294.00000000
L	36C	2021	E	L	2347.00000000
L	36C	2021	E	N	315.00000000
L	36C	2021	E	O	80.00000000
L	36C	2021	E	S	40.00000000
L	36C	2021	N	N	1979.00000000
L	36C	2021	N	O	33.00000000
L	36R	2021	D	D	970.00000000
L	36R	2021	D	L	11929.00000000
L	36R	2021	D	O	2734.00000000
L	36R	2021	D	S	4480.00000000
L	36R	2021	E	L	3952.00000000
L	36R	2021	E	N	2.00000000
L	36R	2021	E	O	689.00000000
L	36R	2021	E	S	1928.00000000
L	36R	2021	N	N	2.00000000
L	36R	2021	N	O	753.00000000
