icao_aircraft,iata_aircraft,icao_airline,iata_airline,ac_cat,wtc,safety_cat,mtow,motor,comment
A109,,,,010,,0,3,,
A124,,,,8/1,,3,402,,
A139,,,,012,,0,7,,
A148,,,,3/3,,3,44,,
A20N,,,,4/4,,3,79,,
A225,,,,,,3,0,,
A306,ABY,,,4/3,,3,172,,
A306,AB6,,,4/3,,3,172,,
A30B,ABF,,,5/2,,2,165,,
A30B,ABX,,,5/2,,2,165,,
A30B,AB3,,,5/2,,2,165,,
A310,310,,,5/3,,3,164,,
A310,313,,,5/3,,3,164,,
A318,318,,,4/4,,3,68,,
A319,319,,,4/3,,3,76,,
A320,320,,,4/3,,3,78,,
A321,321,,,4/3,,3,94,,
A332,332,,,7/3,,3,238,,
A332,33X,,,7/3,,3,238,,
A333,333,,,6/3,,3,235,,
A342,,,,7/4,,3,0,,
A343,340,,,7/4,,3,277,,
A343,343,,,7/4,,3,277,,
A345,,,,,,0,0,,
A346,,,,8/4,,3,380,,
A359,,,,7/4,,3,275,,
A388,388,,,9/4,,3,573,,
A3ST,,,,5/3,,3,0,,
A748,,,,2/2,,1,0,,
AA5,,,,004,,4,2,,
AC11,,,,004,,4,2,,
AC50,,,,004,,4,0,,
AC68,,,,004,,4,0,,
AC90,,,,004,,4,0,,
AC95,,,,004,,4,0,,
AEST,,,,004,,4,0,,
AL03,,,,010,,0,0,,
ALO2,,,,010,,0,0,,
ALO3,,,,010,,0,2,,
AN12,,,,4/1,,1,61,,
AN2,,,,004,,4,0,,
AN22,,,,7/1,,1,0,,
AN24,,,,2/1,,1,0,,
AN26,,,,2/1,,2,24,,
AN28,,,,,,0,0,,
AN32,,,,,,0,0,,
AN72,,,,2/1,,2,37,,
AS32,,,,014,,0,9,,
AS50,,,,010,,0,2,,
AS55,,,,010,,0,3,,
AS65,,,,012,,0,0,,
ASTR,,,,1/4,,3,11,,
AT42,,,,,,0,19,,
AT43,AT4,,,2/3,,3,17,,
AT44,,,,2/4,,3,0,,
AT45,,,,2/4,,3,19,,
AT72,AT7,,,2/3,,3,23,,
AT75,,,,2/4,,3,0,,
ATP,,,,2/3,,3,0,,
B06,,,,010,,0,1,,
B105,,,,010,,0,3,,
B190,,,,1/3,,2,8,,
B212,,,,,,0,0,,
B222,,,,012,,4,0,,
B26,,,,2/1,,1,0,,
B350,,,,004,,2,7,,
B36T,,,,004,,4,0,,
B407,,,,010,,0,0,,
B412,,,,,,0,0,,
B461,,,,2/3,,3,38,,
B462,142,,,3/4,,3,42,,
B463,,,,3/4,,3,44,,
B47G,,,,010,,0,0,,
B701,,,,5/1,,1,0,,
B703,,,,5/1,,1,0,,
B712,717,,,3/4,,3,55,,
B720,,,,,,0,0,,
B721,,,,4/2,,2,0,,
B722,,,,4/2,,2,0,,
B732,,,,3/1,,2,56,,
B733,733,,,3/3,,3,63,,
B733,73C,,,3/3,,3,63,,
B734,734,AHR,,4/3,,3,68,,
B734,734,KLC,KL,4/3,,3,68,,
B734,734,KLM,KL,4/3,,3,68,,
B734,734,MPH,MP,4/3,,3,68,,
B734,734,TRA,HV,4/3,,3,68,,
B734,734,,,4/2,,3,68,,
B735,735,,,3/3,,3,61,,
B736,736,,,4/3,,3,65,,
B737,737,EZY,U2,4/3,,3,70,,
B737,73G,,,4/3,,3,70,,
B737,73W,,,4/3,,3,70,,
B738,738,,,4/3,,3,79,,
B738,73H,,,4/3,,3,79,,
B739,739,,,4/3,,3,79,,
B739,73J,,,4/3,,3,79,,
B73C,,,,3/3,,3,63,,
B73E,,,,3/3,,3,61,,
B741,,PAC,,8/2,,2,0,,
B741,,,,8/1,,2,0,,
B742,74X,,,8/2,,2,378,,
B743,,,,8/2,,2,378,,
B744,744,,,8/3,,3,413,,
B744,74Y,,,8/3,,3,413,,
B744,74F,,,8/3,,3,413,,
B744,74E,,,8/3,,3,413,,
B748,74N,,,9/4,,3,448,,
B74R,,,,,,0,0,,
B74S,,,,8/2,,2,0,,
B752,75W,AWE,US,5/4,,3,116,,
B752,,BAW,,5/3,,3,116,,
B752,,CFG,,5/3,,3,116,,
B752,75W,ICE,FI,5/4,,3,116,,
B752,75T,ICE,FI,5/4,,3,116,,
B752,,RAM,,5/3,,3,116,,
B752,,TCV,,5/3,,3,116,,
B752,752,TCV,VR,5/3,,3,116,,
B752,75W,UAL,UA,5/4,,3,116,,
B752,,UZB,,5/3,,3,116,,
B752,75F,,,5/4,,3,116,,
B752,752,,,5/4,,3,116,,
B753,753,,,6/3,,3,122,,
B75W,,,,5/4,,3,116,,
B762,762,,,6/3,,3,179,,
B763,76W,,,6/3,,3,187,,
B763,763,,,6/3,,3,187,,
B763,76F,,,6/3,,3,187,,
B764,764,,,6/3,,3,204,,
B772,77L,,,7/4,,3,298,,
B772,77F,,,7/4,,3,298,,
B772,772,,,7/4,,3,298,,
B773,77X,QTR,QR,8/4,,3,299,,
B773,77X,UAE,EK,8/4,,3,299,,
B77L,77X,,,8/3,,3,348,,
B77W,77W,,,8/3,,3,352,,
B77W,773,,,8/3,,3,352,,
B788,787,,,6/4,,3,228,,
B788,788,,,6/4,,3,228,,
B789,,,,7/4,,3,253,,
BA11,,,,3/1,,2,0,,
BASS,,,,004,,4,0,,
BATP,,,,,,0,0,,
BCS1,,,,4/4,,3,61,,
BCS3,,,,4/4,,3,65,,
BE10,,,,004,,4,6,,
BE18,,,,004,,4,0,,
BE19,,,,004,,4,0,,
BE20,,,,004,,2,6,,
BE23,,,,004,,4,0,,
BE30,,,,004,,2,6,,
BE33,,,,004,,4,2,,
BE35,,,,004,,4,2,,
BE36,,,,004,,4,2,,
BE40,,,,004,,3,7,,
BE55,,,,004,,4,0,,
BE58,,,,004,,4,3,,
BE60,,,,004,,4,3,,
BE65,,,,004,,4,0,,
BE76,,,,004,,4,0,,
BE80,,,,004,,4,0,,
